"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon"
"1","Theft From Auto Over $5000",2007,1,"1XX STANLEY PARK CSWY","100 STANLEY PARK CSWY","100 STANLEY PARK CSWY, Vancouver, BC, Canada",49.30245,-123.14462
"2","Theft From Auto Over $5000",2007,1,"1XX STANLEY PARK CSWY","100 STANLEY PARK CSWY","100 STANLEY PARK CSWY, Vancouver, BC, Canada",49.30245,-123.14462
"3","Theft From Auto Over $5000",2007,1,"6XX CAMBIE ST","600 CAMBIE ST","600 CAMBIE ST, Vancouver, BC, Canada",49.2801775,-123.111621
"4","Theft From Auto Over $5000",2007,1,"9XX HORNBY ST","900 HORNBY ST","900 HORNBY ST, Vancouver, BC, Canada",49.2813167,-123.1234445
"5","Theft From Auto Over $5000",2007,1,"35XX W 49TH AVE","3500 W 49TH AVE","3500 W 49TH AVE, Vancouver, BC, Canada",49.2273554,-123.1824192
"6","Theft From Auto Over $5000",2007,1,"1XX STANLEY PARK CSWY","100 STANLEY PARK CSWY","100 STANLEY PARK CSWY, Vancouver, BC, Canada",49.30245,-123.14462
"7","Theft From Auto Over $5000",2007,1,"14XX E 20TH AVE","1400 E 20TH AVE","1400 E 20TH AVE, Vancouver, BC, Canada",49.2525051,-123.07611
"8","Theft From Auto Over $5000",2007,1,"11XX HOWE ST","1100 HOWE ST","1100 HOWE ST, Vancouver, BC, Canada",49.278619,-123.1257033
"9","Theft From Auto Over $5000",2007,1,"8XX BLOCK NELSON ST","800 BLOCK NELSON ST","800 BLOCK NELSON ST, Vancouver, BC, Canada",49.2798651,-123.1242481
"10","Theft From Auto Over $5000",2007,1,"5XX W HASTINGS ST","500 W HASTINGS ST","500 W HASTINGS ST, Vancouver, BC, Canada",49.2840058,-123.11209
"11","Theft From Auto Over $5000",2007,1,"11XX W HASTINGS ST","1100 W HASTINGS ST","1100 W HASTINGS ST, Vancouver, BC, Canada",49.2878376,-123.1199394
"12","Theft From Auto Over $5000",2007,1,"9XX SEYMOUR ST","900 SEYMOUR ST","900 SEYMOUR ST, Vancouver, BC, Canada",49.27925,-123.12051
"13","Theft From Auto Over $5000",2007,1,"12XX W 73RD AVE","1200 W 73RD AVE","1200 W 73RD AVE, Vancouver, BC, Canada",49.204,-123.13362
"14","Theft From Auto Over $5000",2007,1,"14XX ANDERSON ST","1400 ANDERSON ST","1400 ANDERSON ST, Vancouver, BC, Canada",49.2708035,-123.135533
"15","Theft From Auto Over $5000",2007,1,"56XX STANLEY PARK DR","5600 STANLEY PARK DR","5600 STANLEY PARK DR, Vancouver, BC, Canada",49.312064,-123.1430497
"16","Theft From Auto Over $5000",2007,1,"10XX W GEORGIA ST","1000 W GEORGIA ST","1000 W GEORGIA ST, Vancouver, BC, Canada",49.2843551,-123.1212978
"17","Theft From Auto Over $5000",2007,1,"55XX OAK ST","5500 OAK ST","5500 OAK ST, Vancouver, BC, Canada",49.2358268,-123.1278189
"18","Theft From Auto Over $5000",2007,2,"19XX BEACH AVE","1900 BEACH AVE","1900 BEACH AVE, Vancouver, BC, Canada",49.2885765,-123.1431627
"19","Theft From Auto Over $5000",2007,2,"HELMCKEN ST / HORNBY ST","HELMCKEN ST / HORNBY ST","HELMCKEN ST & HORNBY ST, Vancouver, BC, Canada",49.27948,-123.12656
"20","Theft From Auto Over $5000",2007,2,"33XX FIELDSTONE AVE","3300 FIELDSTONE AVE","3300 FIELDSTONE AVE, Vancouver, BC, Canada",49.2081548,-123.0355282
"21","Theft From Auto Over $5000",2007,2,"12XX W BROADWAY AVE","1200 W BROADWAY AVE","1200 W BROADWAY AVE, Vancouver, BC, Canada",49.2633251,-123.1315828
