,TYPE,YEAR,MONTH,HUNDRED_BLOCK,h_block,full_address,lat,lon,lat_offset,lon_offset,cid
3,Theft From Auto Over $5000,2007,1,6XX CAMBIE ST,600 CAMBIE ST,"600 CAMBIE ST , Vancouver, BC, Canada",49.2801775,-123.111621,49.28038758,-123.1114532,1
4,Theft From Auto Over $5000,2007,1,9XX HORNBY ST,900 HORNBY ST,"900 HORNBY ST , Vancouver, BC, Canada",49.2813167,-123.1234445,49.28167168,-123.1230937,1
5,Theft From Auto Over $5000,2007,1,35XX W 49TH AVE,3500 W 49TH AVE,"3500 W 49TH AVE , Vancouver, BC, Canada",49.2273554,-123.1824192,49.22777332,-123.1819939,1
7,Theft From Auto Over $5000,2007,1,14XX E 20TH AVE,1400 E 20TH AVE,"1400 E 20TH AVE , Vancouver, BC, Canada",49.2525051,-123.07611,49.25288999,-123.0760096,1
8,Theft From Auto Over $5000,2007,1,11XX HOWE ST,1100 HOWE ST,"1100 HOWE ST , Vancouver, BC, Canada",49.278619,-123.1257033,49.27909849,-123.125527,1
9,Theft From Auto Over $5000,2007,1,8XX BLOCK NELSON ST,800 BLOCK NELSON ST,"800 BLOCK NELSON ST , Vancouver, BC, Canada",49.2798651,-123.1242481,49.28007577,-123.1240391,1
10,Theft From Auto Over $5000,2007,1,5XX W HASTINGS ST,500 W HASTINGS ST,"500 W HASTINGS ST , Vancouver, BC, Canada",49.2840058,-123.11209,49.28417411,-123.111886,1
11,Theft From Auto Over $5000,2007,1,11XX W HASTINGS ST,1100 W HASTINGS ST,"1100 W HASTINGS ST , Vancouver, BC, Canada",49.2878376,-123.1199394,49.28815896,-123.1198373,1
12,Theft From Auto Over $5000,2007,1,9XX SEYMOUR ST,900 SEYMOUR ST,"900 SEYMOUR ST , Vancouver, BC, Canada",49.27925,-123.12051,49.27965771,-123.1201143,1
13,Theft From Auto Over $5000,2007,1,12XX W 73RD AVE,1200 W 73RD AVE,"1200 W 73RD AVE , Vancouver, BC, Canada",49.204,-123.13362,49.20417123,-123.1334913,1
14,Theft From Auto Over $5000,2007,1,14XX ANDERSON ST,1400 ANDERSON ST,"1400 ANDERSON ST , Vancouver, BC, Canada",49.2708035,-123.135533,49.27111421,-123.1351392,1
16,Theft From Auto Over $5000,2007,1,10XX W GEORGIA ST,1000 W GEORGIA ST,"1000 W GEORGIA ST , Vancouver, BC, Canada",49.2843551,-123.1212978,49.2846062,-123.1209234,1
17,Theft From Auto Over $5000,2007,1,55XX OAK ST,5500 OAK ST,"5500 OAK ST , Vancouver, BC, Canada",49.2358268,-123.1278189,49.23619626,-123.1276538,1
18,Theft From Auto Over $5000,2007,2,19XX BEACH AVE,1900 BEACH AVE,"1900 BEACH AVE , Vancouver, BC, Canada",49.2885765,-123.1431627,49.28896667,-123.1429073,1
19,Theft From Auto Over $5000,2007,2,HELMCKEN ST / HORNBY ST,HELMCKEN ST / HORNBY ST,"HELMCKEN ST & HORNBY ST , Vancouver, BC, Canada",49.27948,-123.12656,49.27967633,-123.126141,1
20,Theft From Auto Over $5000,2007,2,33XX FIELDSTONE AVE,3300 FIELDSTONE AVE,"3300 FIELDSTONE AVE , Vancouver, BC, Canada",49.2081548,-123.0355282,49.20841716,-123.0350791,1
21,Theft From Auto Over $5000,2007,2,12XX W BROADWAY AVE,1200 W BROADWAY AVE,"1200 W BROADWAY AVE , Vancouver, BC, Canada",49.2633251,-123.1315828,49.26366449,-123.1313224,1
22,Theft From Auto Over $5000,2007,2,7XX GRANVILLE ST,700 GRANVILLE ST,"700 GRANVILLE ST , Vancouver, BC, Canada",49.2822179,-123.1182166,49.28264318,-123.1179033,1
24,Theft From Auto Over $5000,2007,2,5XX BLOCK E 11TH AVE,500 BLOCK E 11TH AVE,"500 BLOCK E 11TH AVE , Vancouver, BC, Canada",49.26038,-123.09282,49.260629,-123.0924646,1
