"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon"
"1","Mischief Over $5000",2008,1,"14XX ARBUTUS ST","1400 ARBUTUS ST","1400 ARBUTUS ST Vancouver, BC, Canada",49.2736004,-123.1523398
"2","Mischief Over $5000",2008,1,"12XX SE MARINE DR","1200 SE MARINE DR","1200 SE MARINE DR Vancouver, BC, Canada",49.2109751,-123.0818314
"3","Mischief Over $5000",2008,1,"5XX GREAT NORTHERN WAY","500 GREAT NORTHERN WAY","500 GREAT NORTHERN WAY Vancouver, BC, Canada",49.2666618,-123.0929656
"4","Mischief Over $5000",2008,1,"10XX W GEORGIA ST","1000 W GEORGIA ST","1000 W GEORGIA ST Vancouver, BC, Canada",49.2843551,-123.1212978
"5","Mischief Over $5000",2008,2,"2XX POWELL ST","200 POWELL ST","200 POWELL ST Vancouver, BC, Canada",49.2830451,-123.099362
"6","Mischief Over $5000",2008,2,"COTTON DR / GRAVELEY ST","COTTON DR / GRAVELEY ST","COTTON DR / GRAVELEY ST Vancouver, BC, Canada",49.27046,-123.06697
"7","Mischief Over $5000",2008,2,"10XX W 7TH AVE","1000 W 7TH AVE","1000 W 7TH AVE Vancouver, BC, Canada",49.2650351,-123.1267427
"8","Mischief Over $5000",2008,2,"35XX KNIGHT ST","3500 KNIGHT ST","3500 KNIGHT ST Vancouver, BC, Canada",49.2533714,-123.0757262
"9","Mischief Over $5000",2008,2,"20XX KINGSWAY AVE","2000 KINGSWAY AVE","2000 KINGSWAY AVE Vancouver, BC, Canada",49.2571394,-122.7730038
"10","Mischief Over $5000",2008,3,"6XX EXPO BLVD","600 EXPO BLVD","600 EXPO BLVD Vancouver, BC, Canada",49.2785269,-123.1078334
"11","Mischief Over $5000",2008,3,"12XX RICHARDS ST","1200 RICHARDS ST","1200 RICHARDS ST Vancouver, BC, Canada",49.2756286,-123.1243363
"12","Mischief Over $5000",2008,3,"63XX TISDALL ST","6300 TISDALL ST","6300 TISDALL ST Vancouver, BC, Canada",49.2279859,-123.1215006
"13","Mischief Over $5000",2008,3,"62XX FRASER ST","6200 FRASER ST","6200 FRASER ST Vancouver, BC, Canada",49.2281942,-123.0904838
"14","Mischief Over $5000",2008,3,"66XX MAIN ST","6600 MAIN ST","6600 MAIN ST Vancouver, BC, Canada",49.2246172,-123.1014545
"15","Mischief Over $5000",2008,4,"15XX MAIN ST","1500 MAIN ST","1500 MAIN ST Vancouver, BC, Canada",49.2722,-123.09969
"16","Mischief Over $5000",2008,4,"E 1ST AVE / RENFREW ST","E 1ST AVE / RENFREW ST","E 1ST AVE / RENFREW ST Vancouver, BC, Canada",49.27717,-123.04409
"17","Mischief Over $5000",2008,4,"20XX W 12TH AVE","2000 W 12TH AVE","2000 W 12TH AVE Vancouver, BC, Canada",49.26068,-123.15104
"18","Mischief Over $5000",2008,4,"10XX RICHARDS ST","1000 RICHARDS ST","1000 RICHARDS ST Vancouver, BC, Canada",49.277729,-123.1211458
"19","Mischief Over $5000",2008,5,"13XX HORNBY ST","1300 HORNBY ST","1300 HORNBY ST Vancouver, BC, Canada",49.2771097,-123.1298628
