"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon","cid","lat_offset","lon_offset"
"1","Mischief Over $5000",2008,1,"14XX ARBUTUS ST","1400 ARBUTUS ST","1400 ARBUTUS ST , Vancouver, BC, Canada",49.2736004,-123.1523398,1,49.2737556542778,-123.151843935855
"2","Mischief Over $5000",2008,1,"12XX SE MARINE DR","1200 SE MARINE DR","1200 SE MARINE DR , Vancouver, BC, Canada",49.2109751,-123.0818314,1,49.211243719282,-123.081471064172
"3","Mischief Over $5000",2008,1,"5XX GREAT NORTHERN WAY","500 GREAT NORTHERN WAY","500 GREAT NORTHERN WAY , Vancouver, BC, Canada",49.2666618,-123.0929656,1,49.2668099517977,-123.092632048212
"4","Mischief Over $5000",2008,1,"10XX W GEORGIA ST","1000 W GEORGIA ST","1000 W GEORGIA ST , Vancouver, BC, Canada",49.2843551,-123.1212978,1,49.2845177435251,-123.120936069516
"5","Mischief Over $5000",2008,2,"2XX POWELL ST","200 POWELL ST","200 POWELL ST , Vancouver, BC, Canada",49.2830451,-123.099362,1,49.2831716930842,-123.099204437176
"6","Mischief Over $5000",2008,2,"COTTON DR / GRAVELEY ST","COTTON DR / GRAVELEY ST","COTTON DR  and  GRAVELEY ST , Vancouver, BC, Canada",49.27051,-123.07156,1,49.2708680252042,-123.071400831537
"7","Mischief Over $5000",2008,2,"10XX W 7TH AVE","1000 W 7TH AVE","1000 W 7TH AVE , Vancouver, BC, Canada",49.2650351,-123.1267427,1,49.2654258583477,-123.126337144717
"8","Mischief Over $5000",2008,2,"35XX KNIGHT ST","3500 KNIGHT ST","3500 KNIGHT ST , Vancouver, BC, Canada",49.2533714,-123.0757262,1,49.2536782909173,-123.075378174279
"10","Mischief Over $5000",2008,3,"6XX EXPO BLVD","600 EXPO BLVD","600 EXPO BLVD , Vancouver, BC, Canada",49.2785269,-123.1078334,1,49.2789915688068,-123.107729446719
"11","Mischief Over $5000",2008,3,"12XX RICHARDS ST","1200 RICHARDS ST","1200 RICHARDS ST , Vancouver, BC, Canada",49.2756286,-123.1243363,1,49.2759690365572,-123.123843058971
"12","Mischief Over $5000",2008,3,"63XX TISDALL ST","6300 TISDALL ST","6300 TISDALL ST , Vancouver, BC, Canada",49.2279859,-123.1215006,1,49.2283220853247,-123.121125021766
"13","Mischief Over $5000",2008,3,"62XX FRASER ST","6200 FRASER ST","6200 FRASER ST , Vancouver, BC, Canada",49.2281942,-123.0904838,1,49.2286558869892,-123.090164043364
"14","Mischief Over $5000",2008,3,"66XX MAIN ST","6600 MAIN ST","6600 MAIN ST , Vancouver, BC, Canada",49.2246172,-123.1014545,1,49.2251015672358,-123.101039285497
"15","Mischief Over $5000",2008,4,"15XX MAIN ST","1500 MAIN ST","1500 MAIN ST , Vancouver, BC, Canada",49.2722,-123.09969,1,49.2726677953522,-123.099410780125
"16","Mischief Over $5000",2008,4,"E 1ST AVE / RENFREW ST","E 1ST AVE / RENFREW ST","E 1ST AVE  and  RENFREW ST , Vancouver, BC, Canada",49.26958,-123.04421,1,49.2699825638765,-123.043891043041
"17","Mischief Over $5000",2008,4,"20XX W 12TH AVE","2000 W 12TH AVE","2000 W 12TH AVE , Vancouver, BC, Canada",49.26068,-123.15104,1,49.2610083236415,-123.150625421342
"18","Mischief Over $5000",2008,4,"10XX RICHARDS ST","1000 RICHARDS ST","1000 RICHARDS ST , Vancouver, BC, Canada",49.277729,-123.1211458,1,49.2780594105319,-123.120904142485
"19","Mischief Over $5000",2008,5,"13XX HORNBY ST","1300 HORNBY ST","1300 HORNBY ST , Vancouver, BC, Canada",49.2771097,-123.1298628,1,49.2775625614434,-123.129536337254
"20","Mischief Over $5000",2008,5,"7XX HAWKS AVE","700 HAWKS AVE","700 HAWKS AVE , Vancouver, BC, Canada",49.2781901,-123.0870187,1,49.278395002226,-123.086748426561
"21","Mischief Over $5000",2008,5,"17XX FRANKLIN ST","1700 FRANKLIN ST","1700 FRANKLIN ST , Vancouver, BC, Canada",49.2820647,-123.0700876,1,49.282456619625,-123.069658602227
"22","Mischief Over $5000",2008,6,"64XX VICTORIA DR","6400 VICTORIA DR","6400 VICTORIA DR , Vancouver, BC, Canada",49.2261902,-123.0655339,1,49.2263567148277,-123.065314629844
"23","Mischief Over $5000",2008,6,"12XX ALBERNI ST","1200 ALBERNI ST","1200 ALBERNI ST , Vancouver, BC, Canada",49.28687,-123.12674,1,49.2873208598214,-123.126361859813
"24","Mischief Over $5000",2008,6,"11XX HOMER ST","1100 HOMER ST","1100 HOMER ST , Vancouver, BC, Canada",49.2761714,-123.1216119,1,49.2765393355336,-123.121147380913
"25","Mischief Over $5000",2008,6,"5XX W HASTINGS ST","500 W HASTINGS ST","500 W HASTINGS ST , Vancouver, BC, Canada",49.2840058,-123.11209,1,49.2843913798393,-123.111816850677
