"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","full_address","lat","lon","cid","lat_offset","lon_offset"
"1","Mischief Over $5000",2009,1,"3600 W 1ST AVE","3600 W 1ST AVE , Vancouver, BC, Canada",49.2711451,-123.1837431,1,49.2716354614709,-123.183450610719
"2","Mischief Over $5000",2009,1,"1200 GRANVILLE ST","1200 GRANVILLE ST , Vancouver, BC, Canada",49.2769284,-123.1262661,1,49.2772643576284,-123.125991210126
"3","Mischief Over $5000",2009,1,"1200 GRANVILLE ST","1200 GRANVILLE ST , Vancouver, BC, Canada",49.2769284,-123.1262661,1,49.2772247353542,-123.126151125603
"4","Mischief Over $5000",2009,2,"300 E 44TH AVE","300 E 44TH AVE , Vancouver, BC, Canada",49.2301243,-123.0991992,1,49.2304607563534,-123.099090945405
"5","Mischief Over $5000",2009,2,"7400 ONTARIO ST","7400 ONTARIO ST , Vancouver, BC, Canada",49.217648,-123.1060205,1,49.2178315412066,-123.105800084963
"6","Mischief Over $5000",2009,3,"1000 GRANVILLE ST","1000 GRANVILLE ST , Vancouver, BC, Canada",49.2790092,-123.1231334,1,49.2794712502329,-123.123009690293
"7","Mischief Over $5000",2009,3,"1000 RICHARDS ST","1000 RICHARDS ST , Vancouver, BC, Canada",49.277729,-123.1211458,1,49.2780742478277,-123.120677944646
"8","Mischief Over $5000",2009,3,"400 SE MARINE DR","400 SE MARINE DR , Vancouver, BC, Canada",49.21041,-123.09654,1,49.2106586172369,-123.096077682132
"9","Mischief Over $5000",2009,4,"5900 RUPERT ST","5900 RUPERT ST , Vancouver, BC, Canada",49.2303735,-123.0429851,1,49.2308053423881,-123.042592812094
"10","Mischief Over $5000",2009,4,"400 ROBSON ST","400 ROBSON ST , Vancouver, BC, Canada",49.2794265,-123.1170928,1,49.2797836561595,-123.116762239308
"11","Mischief Over $5000",2009,4,"BEACH AVE / GRANVILLE ST","BEACH AVE / GRANVILLE ST , Vancouver, BC, Canada",49.2842399,-123.11549,1,49.2846747615915,-123.115295280555
"12","Mischief Over $5000",2009,4,"700 ALE0ANDER ST","700 ALE0ANDER ST , Vancouver, BC, Canada",49.3065681,-123.0625375,1,49.3067698403345,-123.062163516915
"13","Mischief Over $5000",2009,5,"5500 FRASER ST","5500 FRASER ST , Vancouver, BC, Canada",49.2346624,-123.0903138,1,49.2350075496814,-123.089931627539
"14","Mischief Over $5000",2009,5,"700 DUNSMUIR ST","700 DUNSMUIR ST , Vancouver, BC, Canada",49.28373,-123.11671,1,49.2840259951201,-123.116433036982
"15","Mischief Over $5000",2009,5,"1400 GRANVILLE ST","1400 GRANVILLE ST , Vancouver, BC, Canada",49.274692,-123.1295579,1,49.2751592304463,-123.129101115393
"16","Mischief Over $5000",2009,6,"3000 MILLER DR","3000 MILLER DR , Vancouver, BC, Canada",49.24697,-123.06872,1,49.2472760538206,-123.068403782566
"17","Mischief Over $5000",2009,6,"700 DUNSMUIR ST","700 DUNSMUIR ST , Vancouver, BC, Canada",49.28373,-123.11671,1,49.284118039948,-123.116382300218
"18","Mischief Over $5000",2009,6,"5500 YEW ST","5500 YEW ST , Vancouver, BC, Canada",49.2363102,-123.1582571,1,49.236460635292,-123.158153660796
"19","Mischief Over $5000",2009,6,"4700 SLOCAN ST","4700 SLOCAN ST , Vancouver, BC, Canada",49.2422843,-123.0515798,1,49.2426145555057,-123.051283221753
"20","Mischief Over $5000",2009,6,"700 W GEORGIA ST","700 W GEORGIA ST , Vancouver, BC, Canada",49.28276,-123.11871,1,49.2832198874533,-123.118316297186
"21","Theft From Auto Under $5000",2009,1,"2400 W 3RD AVE","2400 W 3RD AVE , Vancouver, BC, Canada",49.2690251,-123.1599814,4,49.2692237537564,-123.159673608306
"22","Theft From Auto Under $5000",2009,1,"1200 W 12TH AVE","1200 W 12TH AVE , Vancouver, BC, Canada",49.2605151,-123.1316234,4,49.2609391860966,-123.131405229507
"23","Theft From Auto Under $5000",2009,1,"2300 W BROADWAY AVE","2300 W BROADWAY AVE , Vancouver, BC, Canada",49.2637851,-123.157842,4,49.2639536247044,-123.157478238328
"24","Theft From Auto Under $5000",2009,1,"1500 W 1ST AVE","1500 W 1ST AVE , Vancouver, BC, Canada",49.2712962,-123.140072,4,49.2716946378696,-123.13958561601
"25","Theft From Auto Under $5000",2009,1,"E 10TH AVE / PRINCE EDWARD ST","E 10TH AVE / PRINCE EDWARD ST , Vancouver, BC, Canada",49.26174,-123.09609,4,49.2621991058051,-123.095933073016
"26","Theft From Auto Under $5000",2009,1,"1400 W 6TH AVE","1400 W 6TH AVE , Vancouver, BC, Canada",49.2660151,-123.1362129,4,49.2662943795262,-123.135796586544
"27","Theft From Auto Under $5000",2009,1,"800 W 16TH AVE","800 W 16TH AVE , Vancouver, BC, Canada",49.2569151,-123.1222016,4,49.2571656847433,-123.121976763688
