"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","full_address","lat","lon","cid","lat_offset","lon_offset"
"1","Mischief Over $5000",2009,1,"3600 W 1ST AVE","3600 W 1ST AVE 3600 W 1ST AVE  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.2711451,-123.1837431,1,49.2712859440174,-123.18338204173
"2","Mischief Over $5000",2009,1,"1200 GRANVILLE ST","1200 GRANVILLE ST 1200 GRANVILLE ST  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.2769284,-123.1262661,1,49.2771918011868,-123.125879679167
"3","Mischief Over $5000",2009,1,"1200 GRANVILLE ST","1200 GRANVILLE ST 1200 GRANVILLE ST  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.2769284,-123.1262661,1,49.2771674555031,-123.126125914002
"4","Mischief Over $5000",2009,2,"300 E 44TH AVE","300 E 44TH AVE 300 E 44TH AVE  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.2301243,-123.0991992,1,49.2304795918711,-123.098758083956
"5","Mischief Over $5000",2009,2,"7400 ONTARIO ST","7400 ONTARIO ST 7400 ONTARIO ST  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.217648,-123.1060205,1,49.2178255156192,-123.105633317005
"6","Mischief Over $5000",2009,3,"1000 GRANVILLE ST","1000 GRANVILLE ST 1000 GRANVILLE ST  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.2790092,-123.1231334,1,49.2792468023719,-123.122871075977
"7","Mischief Over $5000",2009,3,"1000 RICHARDS ST","1000 RICHARDS ST 1000 RICHARDS ST  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.277729,-123.1211458,1,49.2779065840644,-123.120937579287
"8","Mischief Over $5000",2009,3,"400 SE MARINE DR","400 SE MARINE DR 400 SE MARINE DR  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.21041,-123.09654,1,49.2106622681618,-123.096132060964
"9","Mischief Over $5000",2009,4,"5900 RUPERT ST","5900 RUPERT ST 5900 RUPERT ST  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.2303735,-123.0429851,1,49.2306601166046,-123.042555006497
"10","Mischief Over $5000",2009,4,"400 ROBSON ST","400 ROBSON ST 400 ROBSON ST  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.2794265,-123.1170928,1,49.2797872179807,-123.116755487752
"11","Mischief Over $5000",2009,4,"BEACH AVE / GRANVILLE ST","BEACH AVE / GRANVILLE ST BEACH AVE / GRANVILLE ST  , Vancouver, BC, Canada, Vancouver, BC, Canada, Vancouver, BC, Canada",49.2842399,-123.11549,1,49.2846585998055,-123.115188295375
