"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","cid","lat","lon","lat_offset","lon_offset"
"1","Theft From Auto Over $5000",2010,1,"63XX BOUNDARY RD","6300 BOUNDARY RD, Vancouver, BC, Canada",1,49.226251,-123.0233851,49.2267038326443,-123.023105055571
"2","Theft From Auto Over $5000",2010,1,"19XX E HASTINGS ST","1900 E HASTINGS ST, Vancouver, BC, Canada",1,49.2810451,-123.0653694,49.281433693271,-123.064958538222
"3","Theft From Auto Over $5000",2010,1,"RICHARDS ST / W GEORGIA ST","RICHARDS ST / W GEORGIA ST, Vancouver, BC, Canada",1,49.28407,-123.12058,49.284273241231,-123.120106451697
"4","Theft From Auto Over $5000",2010,1,"8XX AVISON WAY","800 AVISON WAY, Vancouver, BC, Canada",1,49.2979379,-123.1311265,49.2980884201042,-123.130968648016
"5","Theft From Auto Over $5000",2010,1,"56XX EAST BLVD","5600 EAST BLVD, Vancouver, BC, Canada",1,49.23604,-123.1547094,49.2362846159886,-123.15438330274
"6","Theft From Auto Over $5000",2010,1,"7XX W GEORGIA ST","700 W GEORGIA ST, Vancouver, BC, Canada",1,49.28276,-123.11871,49.2832094798383,-123.118496636818
"7","Theft From Auto Over $5000",2010,1,"8XX AVISON WAY","800 AVISON WAY, Vancouver, BC, Canada",1,49.2979379,-123.1311265,49.2982703152946,-123.130726758679
"8","Theft From Auto Over $5000",2010,1,"39XX INVERNESS ST","3900 INVERNESS ST, Vancouver, BC, Canada",1,49.2498525,-123.0797741,49.2500660007878,-123.079417852042
"9","Theft From Auto Over $5000",2010,1,"38XX W 29TH AVE","3800 W 29TH AVE, Vancouver, BC, Canada",1,49.2460551,-123.1882907,49.2462427646747,-123.187867918119
"10","Theft From Auto Over $5000",2010,1,"17XX BARCLAY ST","1700 BARCLAY ST, Vancouver, BC, Canada",1,49.2890269,-123.1362341,49.289434366385,-123.135898340902
"11","Theft From Auto Over $5000",2010,2,"9XX BURRARD ST","900 BURRARD ST, Vancouver, BC, Canada",1,49.2815299,-123.12422,49.2816499192986,-123.123773112231
"12","Theft From Auto Over $5000",2010,2,"GRANVILLE ST / ROBSON ST","GRANVILLE ST / ROBSON ST, Vancouver, BC, Canada",1,49.28559,-123.12634,49.2859632613443,-123.126067031007
"13","Theft From Auto Over $5000",2010,2,"7XX DUNSMUIR ST","700 DUNSMUIR ST, Vancouver, BC, Canada",1,49.28373,-123.11671,49.2839488524188,-123.116388460034
"14","Theft From Auto Over $5000",2010,2,"56XX STANLEY PARK DR","5600 STANLEY PARK DR, Vancouver, BC, Canada",1,49.312064,-123.1430497,49.3123587409458,-123.142556607276
"15","Theft From Auto Over $5000",2010,2,"22XX ST CATHERINES ST","2200 ST CATHERINES ST, Vancouver, BC, Canada",1,49.2650245,-123.0850451,49.2654868899264,-123.084627111375
"16","Theft From Auto Over $5000",2010,2,"8XX AVISON WAY","800 AVISON WAY, Vancouver, BC, Canada",1,49.2979379,-123.1311265,49.2981696434081,-123.130838886913
"17","Theft From Auto Over $5000",2010,2,"15XX W 59TH AVE","1500 W 59TH AVE, Vancouver, BC, Canada",1,49.2173106,-123.1404381,49.2177365653857,-123.140285026297
"18","Theft From Auto Over $5000",2010,2,"1XX KEEFER ST","100 KEEFER ST, Vancouver, BC, Canada",1,49.279187,-123.1019665,49.2795564425752,-123.101684655744
"19","Theft From Auto Over $5000",2010,2,"1XX KEEFER ST","100 KEEFER ST, Vancouver, BC, Canada",1,49.279187,-123.1019665,49.2795883628048,-123.101861008132
"20","Theft From Auto Over $5000",2010,2,"7XX W GEORGIA ST","700 W GEORGIA ST, Vancouver, BC, Canada",1,49.28276,-123.11871,49.2828889937981,-123.118438998608
"21","Theft From Auto Over $5000",2010,2,"1XX W CORDOVA ST","100 W CORDOVA ST, Vancouver, BC, Canada",1,49.2828258,-123.1070009,49.2832364212874,-123.106757345016
"22","Theft From Auto Over $5000",2010,2,"22XX ETON ST","2200 ETON ST, Vancouver, BC, Canada",1,49.2873949,-123.0593603,49.2876205358409,-123.059259149444
"23","Theft From Auto Over $5000",2010,2,"8XX E 16TH AVE","800 E 16TH AVE, Vancouver, BC, Canada",1,49.2562951,-123.0877174,49.2567143893426,-123.087555069291
"24","Theft From Auto Over $5000",2010,2,"15XX ROBSON ST","1500 ROBSON ST, Vancouver, BC, Canada",1,49.2886363,-123.1313318,49.2888081878553,-123.130848067407
"25","Theft From Auto Over $5000",2010,3,"12XX ALBERNI ST","1200 ALBERNI ST, Vancouver, BC, Canada",1,49.28687,-123.12674,49.2869941695485,-123.126298474905
"26","Theft From Auto Over $5000",2010,3,"11XX ROBSON ST","1100 ROBSON ST, Vancouver, BC, Canada",1,49.28457,-123.12536,49.2848456456864,-123.124925182409
"27","Theft From Auto Over $5000",2010,3,"7XX W GEORGIA ST","700 W GEORGIA ST, Vancouver, BC, Canada",1,49.28276,-123.11871,49.2830471614247,-123.118252832617
"28","Theft From Auto Over $5000",2010,3,"6XX ABBOTT ST","600 ABBOTT ST, Vancouver, BC, Canada",1,49.2795536,-123.1074751,49.2796949381062,-123.107168497628
"29","Theft From Auto Over $5000",2010,3,"35XX W 17TH AVE","3500 W 17TH AVE, Vancouver, BC, Canada",1,49.2571751,-123.1820412,49.2575276328066,-123.181919529748
"30","Theft From Auto Over $5000",2010,3,"11XX GRANVILLE ST","1100 GRANVILLE ST, Vancouver, BC, Canada",1,49.27778,-123.12465,49.2781693079495,-123.12417637038
"31","Theft From Auto Over $5000",2010,3,"16XX PENDRELL ST","1600 PENDRELL ST, Vancouver, BC, Canada",1,49.285896,-123.1378613,49.2861239136858,-123.137363919408
"32","Theft From Auto Over $5000",2010,3,"7XX W GEORGIA ST","700 W GEORGIA ST, Vancouver, BC, Canada",1,49.28276,-123.11871,49.282869121966,-123.118569170425
"33","Theft From Auto Over $5000",2010,3,"16XX JOHNSTON ST","1600 JOHNSTON ST, Vancouver, BC, Canada",1,49.2718907,-123.135216,49.2722411536091,-123.135115259545
"34","Theft From Auto Over $5000",2010,4,"67XX KILLARNEY ST","6700 KILLARNEY ST, Vancouver, BC, Canada",1,49.223043,-123.0455655,49.2231743284579,-123.045425571103
"35","Theft From Auto Over $5000",2010,4,"7XX GRANVILLE ST","700 GRANVILLE ST, Vancouver, BC, Canada",1,49.2822179,-123.1182166,49.2826900339499,-123.117872647102
"36","Theft From Auto Over $5000",2010,4,"3XX N GARDEN DR","300 N GARDEN DR, Vancouver, BC, Canada",1,49.2876503,-123.0575151,49.2877960967277,-123.057114377387
"37","Theft From Auto Over $5000",2010,4,"17XX POWELL ST","1700 POWELL ST, Vancouver, BC, Canada",1,49.2838161,-123.0700663,49.2841212531859,-123.069676628689
"38","Theft From Auto Over $5000",2010,4,"84XX ONTARIO ST","8400 ONTARIO ST, Vancouver, BC, Canada",1,49.2074451,-123.1065857,49.207777218656,-123.106354050019
"39","Theft From Auto Over $5000",2010,4,"7XX W GEORGIA ST","700 W GEORGIA ST, Vancouver, BC, Canada",1,49.28276,-123.11871,49.2831684920772,-123.118462777873
"40","Theft From Auto Over $5000",2010,4,"OAK ST / W 67TH AVE","OAK ST / W 67TH AVE, Vancouver, BC, Canada",1,49.21079,-123.13227,49.2109342632036,-123.131808409217
"41","Theft From Auto Over $5000",2010,4,"5XX ROBSON ST","500 ROBSON ST, Vancouver, BC, Canada",1,49.28017,-123.11831,49.2806070856669,-123.118170742657
"42","Theft From Auto Over $5000",2010,4,"7XX SE MARINE DR","700 SE MARINE DR, Vancouver, BC, Canada",1,49.2108851,-123.0908499,49.2111543124175,-123.090575068529
"43","Theft From Auto Over $5000",2010,4,"8XX GRIFFITHS WAY","800 GRIFFITHS WAY, Vancouver, BC, Canada",1,49.2779897,-123.1103178,49.2782133480127,-123.110021047057
"44","Theft From Auto Over $5000",2010,4,"11XX HOWE ST","1100 HOWE ST, Vancouver, BC, Canada",1,49.278619,-123.1257033,49.2789132457969,-123.125269276652
"45","Theft From Auto Over $5000",2010,5,"35XX VANNESS AVE","3500 VANNESS AVE, Vancouver, BC, Canada",1,49.2370486,-123.0296816,49.2374896745397,-123.02929970833
"46","Theft From Auto Over $5000",2010,5,"7XX W GEORGIA ST","700 W GEORGIA ST, Vancouver, BC, Canada",1,49.28276,-123.11871,49.28318251095,-123.118521212479
"47","Theft From Auto Over $5000",2010,5,"16XX JOHNSTON ST","1600 JOHNSTON ST, Vancouver, BC, Canada",1,49.2718907,-123.135216,49.2723610102353,-123.13474309959
"48","Theft From Auto Over $5000",2010,5,"4XX W HASTINGS ST","400 W HASTINGS ST, Vancouver, BC, Canada",1,49.28334,-123.11145,49.283502805137,-123.111202406196
"49","Theft From Auto Over $5000",2010,5,"1XX POWELL ST","100 POWELL ST, Vancouver, BC, Canada",1,49.28297,-123.10184,49.2832232481043,-123.101703303899
"50","Theft From Auto Over $5000",2010,6,"5XX PACIFIC ST","500 PACIFIC ST, Vancouver, BC, Canada",1,49.2736157,-123.1276201,49.2739616274305,-123.127326859058
"51","Theft From Auto Over $5000",2010,6,"7XX W GEORGIA ST","700 W GEORGIA ST, Vancouver, BC, Canada",1,49.28276,-123.11871,49.2829521172293,-123.118281056449
"52","Theft From Auto Over $5000",2010,6,"7XX MAIN ST","700 MAIN ST, Vancouver, BC, Canada",1,49.27787,-123.09957,49.2780754416508,-123.099241888274
"53","Theft From Auto Over $5000",2010,6,"E PENDER ST / MAIN ST","E PENDER ST / MAIN ST, Vancouver, BC, Canada",1,49.2804,-123.10085,49.2808795185074,-123.100372551896
"54","Theft From Auto Over $5000",2010,6,"8XX AVISON WAY","800 AVISON WAY, Vancouver, BC, Canada",1,49.2979379,-123.1311265,49.2981064697511,-123.130766916646
"55","Theft From Auto Over $5000",2010,6,"36XX VANNESS AVE","3600 VANNESS AVE, Vancouver, BC, Canada",1,49.2361149,-123.027638,49.2362686171622,-123.027517212275
"56","Theft From Auto Over $5000",2010,6,"3XX SE MARINE DR","300 SE MARINE DR, Vancouver, BC, Canada",1,49.2106241,-123.1002723,49.2108618750613,-123.100079884784
"57","Theft From Auto Over $5000",2010,6,"4XX SE MARINE DR","400 SE MARINE DR, Vancouver, BC, Canada",1,49.21041,-123.09654,49.2107979719832,-123.096285430827
"58","Theft From Auto Over $5000",2010,6,"8XX AVISON WAY","800 AVISON WAY, Vancouver, BC, Canada",1,49.2979379,-123.1311265,49.2981270381616,-123.130829869616
"59","Theft From Auto Over $5000",2010,6,"9XX STANLEY PARK DR","900 STANLEY PARK DR, Vancouver, BC, Canada",1,49.2966799,-123.1291074,49.2968824392119,-123.128953257715
"60","Theft From Auto Over $5000",2010,6,"8XX AVISON WAY","800 AVISON WAY, Vancouver, BC, Canada",1,49.2979379,-123.1311265,49.2982761375663,-123.130729415443
"61","Theft From Auto Over $5000",2010,6,"6XX MOBERLY RD","600 MOBERLY RD, Vancouver, BC, Canada",1,49.26649,-123.11864,49.2669308480093,-123.118488061483
"62","Theft From Auto Under $5000",2010,1,"2XX E 22ND AVE","200 E 22ND AVE, Vancouver, BC, Canada",1,49.2509,-123.10024,49.2510326209058,-123.099799468172
"63","Theft From Auto Under $5000",2010,1,"36XX W 16TH AVE","3600 W 16TH AVE, Vancouver, BC, Canada",1,49.2577251,-123.1853528,49.2581417870886,-123.18491318175
"64","Theft From Auto Under $5000",2010,1,"29XX E 41ST AVE","2900 E 41ST AVE, Vancouver, BC, Canada",1,49.2328451,-123.0456999,49.2329606948026,-123.045572675372
"65","Theft From Auto Under $5000",2010,1,"10XX LAKEWOOD DR","1000 LAKEWOOD DR, Vancouver, BC, Canada",1,49.2756022,-123.0616451,49.2760702005549,-123.06142554678
