"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon","cid","lat_offset","lon_offset"
"1","Theft From Auto Over $5000",2010,1,"63XX BOUNDARY RD","6300 BOUNDARY RD","6300 BOUNDARY RD , Vancouver, BC, Canada",49.226251,-123.0233851,1,49.2264785008388,-123.023149663528
"2","Theft From Auto Over $5000",2010,1,"19XX E HASTINGS ST","1900 E HASTINGS ST","1900 E HASTINGS ST , Vancouver, BC, Canada",49.2810451,-123.0653694,1,49.2812238326117,-123.064950952469
"3","Theft From Auto Over $5000",2010,1,"RICHARDS ST / W GEORGIA ST","RICHARDS ST / W GEORGIA ST","RICHARDS ST / W GEORGIA ST , Vancouver, BC, Canada",49.28407,-123.12058,1,49.2844066415896,-123.120422225041
"4","Theft From Auto Over $5000",2010,1,"8XX AVISON WAY","800 AVISON WAY","800 AVISON WAY , Vancouver, BC, Canada",49.2979379,-123.1311265,1,49.2983996654137,-123.130813918182
"5","Theft From Auto Over $5000",2010,1,"56XX EAST BLVD","5600 EAST BLVD","5600 EAST BLVD , Vancouver, BC, Canada",49.23604,-123.1547094,1,49.2363773524715,-123.154520590209
"6","Theft From Auto Over $5000",2010,1,"7XX W GEORGIA ST","700 W GEORGIA ST","700 W GEORGIA ST , Vancouver, BC, Canada",49.28276,-123.11871,1,49.282890396653,-123.118531154899
"7","Theft From Auto Over $5000",2010,1,"8XX AVISON WAY","800 AVISON WAY","800 AVISON WAY , Vancouver, BC, Canada",49.2979379,-123.1311265,1,49.2984211864157,-123.130872733487
"8","Theft From Auto Over $5000",2010,1,"39XX INVERNESS ST","3900 INVERNESS ST","3900 INVERNESS ST , Vancouver, BC, Canada",49.2498525,-123.0797741,1,49.2501689859488,-123.079392423467
"9","Theft From Auto Over $5000",2010,1,"38XX W 29TH AVE","3800 W 29TH AVE","3800 W 29TH AVE , Vancouver, BC, Canada",49.2460551,-123.1882907,1,49.2465003572092,-123.187830861906
"10","Theft From Auto Over $5000",2010,1,"17XX BARCLAY ST","1700 BARCLAY ST","1700 BARCLAY ST , Vancouver, BC, Canada",49.2890269,-123.1362341,1,49.2891346450045,-123.135840188361
"11","Theft From Auto Over $5000",2010,2,"9XX BURRARD ST","900 BURRARD ST","900 BURRARD ST , Vancouver, BC, Canada",49.2815299,-123.12422,1,49.2817750901129,-123.123987720156
"12","Theft From Auto Over $5000",2010,2,"GRANVILLE ST / ROBSON ST","GRANVILLE ST / ROBSON ST","GRANVILLE ST / ROBSON ST , Vancouver, BC, Canada",49.28559,-123.12634,1,49.2859996472278,-123.126068865848
"13","Theft From Auto Over $5000",2010,2,"7XX DUNSMUIR ST","700 DUNSMUIR ST","700 DUNSMUIR ST , Vancouver, BC, Canada",49.28373,-123.11671,1,49.2840965822753,-123.11652377462
"14","Theft From Auto Over $5000",2010,2,"56XX STANLEY PARK DR","5600 STANLEY PARK DR","5600 STANLEY PARK DR , Vancouver, BC, Canada",49.312064,-123.1430497,1,49.3124954782163,-123.142910414606
"15","Theft From Auto Over $5000",2010,2,"22XX ST CATHERINES ST","2200 ST CATHERINES ST","2200 ST CATHERINES ST , Vancouver, BC, Canada",49.2650245,-123.0850451,1,49.2654338309397,-123.084658739486
"16","Theft From Auto Over $5000",2010,2,"8XX AVISON WAY","800 AVISON WAY","800 AVISON WAY , Vancouver, BC, Canada",49.2979379,-123.1311265,1,49.2981563971255,-123.130709373591
"17","Theft From Auto Over $5000",2010,2,"15XX W 59TH AVE","1500 W 59TH AVE","1500 W 59TH AVE , Vancouver, BC, Canada",49.2173106,-123.1404381,1,49.2175479777151,-123.140122574814
"18","Theft From Auto Over $5000",2010,2,"1XX KEEFER ST","100 KEEFER ST","100 KEEFER ST , Vancouver, BC, Canada",49.279187,-123.1019665,1,49.279329949702,-123.101817259925
"19","Theft From Auto Over $5000",2010,2,"1XX KEEFER ST","100 KEEFER ST","100 KEEFER ST , Vancouver, BC, Canada",49.279187,-123.1019665,1,49.2794127111637,-123.101495580773
"20","Theft From Auto Over $5000",2010,2,"7XX W GEORGIA ST","700 W GEORGIA ST","700 W GEORGIA ST , Vancouver, BC, Canada",49.28276,-123.11871,1,49.2829580226111,-123.118525531772
"21","Theft From Auto Over $5000",2010,2,"1XX W CORDOVA ST","100 W CORDOVA ST","100 W CORDOVA ST , Vancouver, BC, Canada",49.2828258,-123.1070009,1,49.2830139183648,-123.106846917148
"22","Theft From Auto Over $5000",2010,2,"22XX ETON ST","2200 ETON ST","2200 ETON ST , Vancouver, BC, Canada",49.2873949,-123.0593603,1,49.2878443507244,-123.059024576652
"23","Theft From Auto Over $5000",2010,2,"8XX E 16TH AVE","800 E 16TH AVE","800 E 16TH AVE , Vancouver, BC, Canada",49.2562951,-123.0877174,1,49.2567051688525,-123.087264460298
"24","Theft From Auto Over $5000",2010,2,"15XX ROBSON ST","1500 ROBSON ST","1500 ROBSON ST , Vancouver, BC, Canada",49.2886363,-123.1313318,1,49.2889551644762,-123.131011439441
"25","Theft From Auto Over $5000",2010,3,"12XX ALBERNI ST","1200 ALBERNI ST","1200 ALBERNI ST , Vancouver, BC, Canada",49.28687,-123.12674,1,49.2872099668695,-123.126542294914
"26","Theft From Auto Over $5000",2010,3,"11XX ROBSON ST","1100 ROBSON ST","1100 ROBSON ST , Vancouver, BC, Canada",49.28457,-123.12536,1,49.2848166467036,-123.125137280458
"27","Theft From Auto Over $5000",2010,3,"7XX W GEORGIA ST","700 W GEORGIA ST","700 W GEORGIA ST , Vancouver, BC, Canada",49.28276,-123.11871,1,49.2829402727395,-123.118460678306
"28","Theft From Auto Over $5000",2010,3,"6XX ABBOTT ST","600 ABBOTT ST","600 ABBOTT ST , Vancouver, BC, Canada",49.2795536,-123.1074751,1,49.2799606835709,-123.107272481413
"29","Theft From Auto Over $5000",2010,3,"35XX W 17TH AVE","3500 W 17TH AVE","3500 W 17TH AVE , Vancouver, BC, Canada",49.2571751,-123.1820412,1,49.257466828204,-123.181856450965
