"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","full_address","lat","lon","cid","lat_offset","lon_offset"
"1","Commercial Break and Enter",2011,1,"1000 MAINLAND ST","1000 MAINLAND ST , Vancouver, BC, Canada",49.2763899,-123.1190312,1,49.2765419796202,-123.118603421995
"2","Commercial Break and Enter",2011,1,"1800 W BROADWAY AVE","1800 W BROADWAY AVE , Vancouver, BC, Canada",49.2635851,-123.1459829,1,49.2639510466248,-123.145592479703
"3","Commercial Break and Enter",2011,1,"1800 W BROADWAY AVE","1800 W BROADWAY AVE , Vancouver, BC, Canada",49.2635851,-123.1459829,1,49.2637337169778,-123.145590567842
"4","Commercial Break and Enter",2011,1,"700 RICHARDS ST","700 RICHARDS ST , Vancouver, BC, Canada",49.2809974,-123.1162264,1,49.2811754284598,-123.116058370022
"5","Commercial Break and Enter",2011,1,"300 WOODLAND DR","300 WOODLAND DR , Vancouver, BC, Canada",49.2820778,-123.0723644,1,49.28253071368,-123.071972626176
"6","Commercial Break and Enter",2011,1,"1500 W 7TH AVE","1500 W 7TH AVE , Vancouver, BC, Canada",49.2652052,-123.1387252,1,49.2654893537742,-123.138428831149
"7","Commercial Break and Enter",2011,1,"5400 VICTORIA DR","5400 VICTORIA DR , Vancouver, BC, Canada",49.23574,-123.0653451,1,49.2359413666819,-123.064931275784
"8","Commercial Break and Enter",2011,1,"3600 W 16TH AVE","3600 W 16TH AVE , Vancouver, BC, Canada",49.2577251,-123.1853528,1,49.2579212760106,-123.185037218002
"9","Commercial Break and Enter",2011,1,"2900 VIRTUAL WAY","2900 VIRTUAL WAY , Vancouver, BC, Canada",49.2608851,-123.044072,1,49.2612868227879,-123.043770322178
"10","Commercial Break and Enter",2011,1,"500 W BROADWAY AVE","500 W BROADWAY AVE , Vancouver, BC, Canada",49.26291,-123.1153,1,49.2633772881771,-123.115022068146
"11","Commercial Break and Enter",2011,1,"400 W 8TH AVE","400 W 8TH AVE , Vancouver, BC, Canada",49.2637752,-123.1131071,1,49.2639288567342,-123.112631461099
"12","Commercial Break and Enter",2011,1,"800 ROBSON ST","800 ROBSON ST , Vancouver, BC, Canada",49.2818944,-123.1208755,1,49.2821819224334,-123.120488206835
"13","Commercial Break and Enter",2011,1,"800 GRANVILLE ST","800 GRANVILLE ST , Vancouver, BC, Canada",49.2810599,-123.11969,1,49.2812886833294,-123.119327783047
"14","Commercial Break and Enter",2011,1,"2200 W BROADWAY AVE","2200 W BROADWAY AVE , Vancouver, BC, Canada",49.2637451,-123.1555228,1,49.2639341947388,-123.155080447275
"15","Commercial Break and Enter",2011,1,"2100 W 10TH AVE","2100 W 10TH AVE , Vancouver, BC, Canada",49.2627251,-123.1531946,1,49.2630615675989,-123.152970764055
"17","Commercial Break and Enter",2011,1,"1300 BURRARD ST","1300 BURRARD ST , Vancouver, BC, Canada",49.2777733,-123.1308225,1,49.2781490922732,-123.130435583214
"18","Commercial Break and Enter",2011,1,"3000 E 22ND AVE","3000 E 22ND AVE , Vancouver, BC, Canada",49.2504751,-123.0413699,1,49.250576616261,-123.041143586747
"19","Commercial Break and Enter",2011,1,"1200 MARINASIDE CRES","1200 MARINASIDE CRES , Vancouver, BC, Canada",49.2727576,-123.119722,1,49.2729610071089,-123.119236481299
"20","Commercial Break and Enter",2011,1,"300 W CORDOVA ST","300 W CORDOVA ST , Vancouver, BC, Canada",49.2834866,-123.109353,1,49.2836588905562,-123.108867763472
"21","Commercial Break and Enter",2011,1,"1600 W 3RD AVE","1600 W 3RD AVE , Vancouver, BC, Canada",49.2686751,-123.1410034,1,49.2690947741841,-123.140843848083
"23","Commercial Break and Enter",2011,1,"2800 MAIN ST","2800 MAIN ST , Vancouver, BC, Canada",49.2600389,-123.1008843,1,49.2602342989654,-123.100763223193
"24","Commercial Break and Enter",2011,1,"3100 GRANDVIEW HWY","3100 GRANDVIEW HWY , Vancouver, BC, Canada",49.2580051,-123.0388483,1,49.2582362170397,-123.038571510581
"25","Commercial Break and Enter",2011,1,"1700 W 4TH AVE","1700 W 4TH AVE , Vancouver, BC, Canada",49.2678551,-123.1434235,1,49.2680967853938,-123.14326445246
"26","Commercial Break and Enter",2011,1,"500 RICHARDS ST","500 RICHARDS ST , Vancouver, BC, Canada",49.2831573,-123.1129627,1,49.2833647709682,-123.112543657583
"27","Commercial Break and Enter",2011,1,"400 GORE AVE","400 GORE AVE , Vancouver, BC, Canada",49.2811647,-123.0972458,1,49.2816307678903,-123.097074662795
"28","Commercial Break and Enter",2011,1,"2800 MAIN ST","2800 MAIN ST , Vancouver, BC, Canada",49.2600389,-123.1008843,1,49.2604612939435,-123.100645904358
"29","Commercial Break and Enter",2011,1,"600 W 7TH AVE","600 W 7TH AVE , Vancouver, BC, Canada",49.2648751,-123.1176327,1,49.265159026827,-123.11720862882
"30","Commercial Break and Enter",2011,1,"500 SMITHE ST","500 SMITHE ST , Vancouver, BC, Canada",49.2790106,-123.1197059,1,49.2792470162984,-123.11937459671
"31","Commercial Break and Enter",2011,1,"300 BURRARD ST","300 BURRARD ST , Vancouver, BC, Canada",49.2874305,-123.1162619,1,49.2878287184969,-123.115903754253
"32","Commercial Break and Enter",2011,1,"2900 ALBERTA ST","2900 ALBERTA ST , Vancouver, BC, Canada",49.2592371,-123.1108851,1,49.259442916277,-123.110686961551
"33","Commercial Break and Enter",2011,1,"LAUREL ST / W KENT N AVE","LAUREL ST / W KENT N AVE , Vancouver, BC, Canada",49.2642,-123.12417,1,49.2645662210151,-123.123928580718
"34","Commercial Break and Enter",2011,1,"500 W 16TH AVE","500 W 16TH AVE , Vancouver, BC, Canada",49.2567951,-123.115485,1,49.2570148956762,-123.115363047232
"35","Commercial Break and Enter",2011,1,"1200 BURRARD ST","1200 BURRARD ST , Vancouver, BC, Canada",49.27857,-123.1293,1,49.2787065766557,-123.129176901081
"36","Commercial Break and Enter",2011,1,"3400 E KENT S AVE","3400 E KENT S AVE , Vancouver, BC, Canada",49.204936,-123.0316382,1,49.2051480534585,-123.031490379485
"37","Commercial Break and Enter",2011,1,"1300 RAILSPUR ALLY","1300 RAILSPUR ALLY , Vancouver, BC, Canada",49.2697371,-123.133493,1,49.2699819555784,-123.133077753175
"38","Commercial Break and Enter",2011,1,"2200 W BROADWAY AVE","2200 W BROADWAY AVE , Vancouver, BC, Canada",49.2637451,-123.1555228,1,49.2642422707154,-123.155129580166
"39","Commercial Break and Enter",2011,1,"1800 W 4TH AVE","1800 W 4TH AVE , Vancouver, BC, Canada",49.2678751,-123.1458529,1,49.2681896103978,-123.145736816458
"40","Commercial Break and Enter",2011,1,"200 CARRALL ST","200 CARRALL ST , Vancouver, BC, Canada",49.2831513,-123.1040742,1,49.2834004822853,-123.103790637376
"41","Commercial Break and Enter",2011,1,"13600 RAILSPUR ALLY","13600 RAILSPUR ALLY , Vancouver, BC, Canada",49.2704,-123.13436,1,49.2705226497197,-123.134206831212
"42","Commercial Break and Enter",2011,1,"400 MAIN ST","400 MAIN ST , Vancouver, BC, Canada",49.28107,-123.09927,1,49.2812095872246,-123.099071809101
"43","Commercial Break and Enter",2011,1,"1300 GRAVELEY ST","1300 GRAVELEY ST , Vancouver, BC, Canada",49.2704547,-123.077101,1,49.2706772224704,-123.076979791977
"44","Commercial Break and Enter",2011,1,"200 W BROADWAY AVE","200 W BROADWAY AVE , Vancouver, BC, Canada",49.2629851,-123.1096845,1,49.2632330132631,-123.109226835241
"45","Commercial Break and Enter",2011,1,"600 DENMAN ST","600 DENMAN ST , Vancouver, BC, Canada",49.2923708,-123.1338185,1,49.2925683778976,-123.133484670167
"46","Commercial Break and Enter",2011,1,"1200 PACIFIC BLVD","1200 PACIFIC BLVD , Vancouver, BC, Canada",49.2738099,-123.1214619,1,49.2741061631939,-123.121114304102
"47","Commercial Break and Enter",2011,1,"3000 CAMBIE ST","3000 CAMBIE ST , Vancouver, BC, Canada",49.25855,-123.11468,1,49.2588429032807,-123.114329297119
"48","Commercial Break and Enter",2011,1,"100 SW MARINE DR","100 SW MARINE DR , Vancouver, BC, Canada",49.2122467,-123.10862,1,49.2124423768204,-123.108372244034
"49","Commercial Break and Enter",2011,1,"1500 E 3RD AVE","1500 E 3RD AVE , Vancouver, BC, Canada",49.2676649,-123.0732726,1,49.2678898804546,-123.072919530693
"50","Commercial Break and Enter",2011,1,"100 KEEFER ST","100 KEEFER ST , Vancouver, BC, Canada",49.279187,-123.1019665,1,49.2795727468976,-123.101636598211
"51","Commercial Break and Enter",2011,1,"600 BURRARD ST","600 BURRARD ST , Vancouver, BC, Canada",49.2853344,-123.1194187,1,49.2857915979656,-123.11921634552
"52","Commercial Break and Enter",2011,1,"100 KEEFER PL","100 KEEFER PL , Vancouver, BC, Canada",49.279606,-123.107833,1,49.2800926664442,-123.107634837725
"53","Commercial Break and Enter",2011,1,"1100 W HASTINGS ST","1100 W HASTINGS ST , Vancouver, BC, Canada",49.2878376,-123.1199394,1,49.2881602646753,-123.119592503333
"54","Commercial Break and Enter",2011,1,"700 W GEORGIA ST","700 W GEORGIA ST , Vancouver, BC, Canada",49.28276,-123.11871,1,49.283252517383,-123.118403460538
"55","Commercial Break and Enter",2011,1,"100 W GEORGIA ST","100 W GEORGIA ST , Vancouver, BC, Canada",49.2787064,-123.1125227,1,49.2791720560614,-123.112066042771
"56","Commercial Break and Enter",2011,1,"200 E 11TH AVE","200 E 11TH AVE , Vancouver, BC, Canada",49.2610147,-123.1001378,1,49.2614516220828,-123.099767870979
"57","Commercial Break and Enter",2011,1,"200 E 11TH AVE","200 E 11TH AVE , Vancouver, BC, Canada",49.2610147,-123.1001378,1,49.2614169089895,-123.099721261024
"58","Commercial Break and Enter",2011,1,"600 E 8TH AVE","600 E 8TH AVE , Vancouver, BC, Canada",49.2633547,-123.0907922,1,49.2635491133602,-123.090551332178
"59","Commercial Break and Enter",2011,1,"600 ABBOTT ST","600 ABBOTT ST , Vancouver, BC, Canada",49.2795536,-123.1074751,1,49.2796652858941,-123.107167575242
