"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon","lat_offset","lon_offset","cid","popup_text"
"1","Theft From Auto Under $5000",2012,9,"10XX BURRARD ST","1000 BURRARD ST","1000 BURRARD ST , Vancouver, BC, Canada",49.27986,-123.12661,49.2801823941908,-123.126415377109,1,"1000 BURRARD ST  "
"2","Theft From Auto Under $5000",2012,10,"4XX KINGSWAY AVE","400 KINGSWAY AVE","400 KINGSWAY AVE , Vancouver, BC, Canada",49.2590726,-123.0956996,49.2593957904115,-123.095359539495,1,"400 KINGSWAY AVE  "
"3","Theft From Auto Under $5000",2012,10,"51XX ST GEORGE ST","5100 ST GEORGE ST","5100 ST GEORGE ST , Vancouver, BC, Canada",49.262,-123.09301,49.2621983003649,-123.092899303823,1,"5100 ST GEORGE ST  "
"4","Theft From Auto Under $5000",2012,10,"8XX SEYMOUR ST","800 SEYMOUR ST","800 SEYMOUR ST , Vancouver, BC, Canada",49.2804991,-123.1189233,49.2807843596944,-123.118769391093,1,"800 SEYMOUR ST  "
"5","Theft From Auto Under $5000",2012,10,"8XX SEYMOUR ST","800 SEYMOUR ST","800 SEYMOUR ST , Vancouver, BC, Canada",49.2804991,-123.1189233,49.2809972361523,-123.118797734013,1,"800 SEYMOUR ST  "
"6","Theft From Auto Under $5000",2012,10,"E 50TH AVE / FRASER ST","E 50TH AVE / FRASER ST","E 50TH AVE / FRASER ST , Vancouver, BC, Canada",49.22406,-123.06249,49.2244857760438,-123.06204478308,1,"E 50TH AVE / FRASER ST  "
"7","Theft From Auto Under $5000",2012,10,"31XX GRAVELEY ST","3100 GRAVELEY ST","3100 GRAVELEY ST , Vancouver, BC, Canada",49.2702951,-123.0386987,49.2705914477464,-123.038205948534,1,"3100 GRAVELEY ST  "
"8","Theft From Auto Under $5000",2012,10,"14XX E 10TH AVE","1400 E 10TH AVE","1400 E 10TH AVE , Vancouver, BC, Canada",49.2613061,-123.0756154,49.2614235555844,-123.075464132055,1,"1400 E 10TH AVE  "
"9","Theft From Auto Under $5000",2012,10,"64XX CAMBIE ST","6400 CAMBIE ST","6400 CAMBIE ST , Vancouver, BC, Canada",49.226804,-123.1161403,49.2272736424014,-123.115849806536,1,"6400 CAMBIE ST  "
"10","Theft From Auto Under $5000",2012,10,"5XX SMITHE ST","500 SMITHE ST","500 SMITHE ST , Vancouver, BC, Canada",49.2790106,-123.1197059,49.2792759020604,-123.119495121926,1,"500 SMITHE ST  "
"11","Theft From Auto Under $5000",2012,10,"14XX W 12TH AVE","1400 W 12TH AVE","1400 W 12TH AVE , Vancouver, BC, Canada",49.2606051,-123.1363803,49.2609455361045,-123.13611861175,1,"1400 W 12TH AVE  "
"12","Theft From Auto Under $5000",2012,10,"14XX W 12TH AVE","1400 W 12TH AVE","1400 W 12TH AVE , Vancouver, BC, Canada",49.2606051,-123.1363803,49.2607849601513,-123.136072094659,1,"1400 W 12TH AVE  "
"13","Theft From Auto Under $5000",2012,10,"56XX WESSEX ST","5600 WESSEX ST","5600 WESSEX ST , Vancouver, BC, Canada",49.2329713,-123.0340793,49.2332548584744,-123.033795342207,1,"5600 WESSEX ST  "
"14","Theft From Auto Under $5000",2012,10,"17XX KINGSWAY AVE","1700 KINGSWAY AVE","1700 KINGSWAY AVE , Vancouver, BC, Canada",49.2526106,-122.7621172,49.2527198105176,-122.76188772544,1,"1700 KINGSWAY AVE  "
"15","Theft From Auto Under $5000",2012,10,"22XX W 5TH AVE","2200 W 5TH AVE","2200 W 5TH AVE , Vancouver, BC, Canada",49.2671751,-123.1553828,49.2672993295441,-123.154889300204,1,"2200 W 5TH AVE  "
"16","Theft From Auto Under $5000",2012,10,"14XX W HASTINGS ST","1400 W HASTINGS ST","1400 W HASTINGS ST , Vancouver, BC, Canada",49.2898874,-123.1270573,49.2900203925213,-123.12661113636,1,"1400 W HASTINGS ST  "
"17","Theft From Auto Under $5000",2012,10,"1XX E 14TH AVE","100 E 14TH AVE","100 E 14TH AVE , Vancouver, BC, Canada",49.2583045,-123.102899,49.2584462824049,-123.102779939808,1,"100 E 14TH AVE  "
"18","Theft From Auto Under $5000",2012,10,"48XX SLOCAN ST","4800 SLOCAN ST","4800 SLOCAN ST , Vancouver, BC, Canada",49.2412425,-123.0525731,49.2413771840193,-123.052346157196,1,"4800 SLOCAN ST  "
"19","Theft From Auto Under $5000",2012,10,"33XX W 32ND AVE","3300 W 32ND AVE","3300 W 32ND AVE , Vancouver, BC, Canada",49.2431451,-123.1788402,49.2433141059165,-123.178704857203,1,"3300 W 32ND AVE  "
"20","Theft From Auto Under $5000",2012,10,"8XX BURRARD ST","800 BURRARD ST","800 BURRARD ST , Vancouver, BC, Canada",49.2827399,-123.12297,49.2831182220516,-123.122614706825,1,"800 BURRARD ST  "
"21","Theft From Auto Under $5000",2012,10,"HEATHER ST / W 33RD AVE","HEATHER ST / W 33RD AVE","HEATHER ST / W 33RD AVE , Vancouver, BC, Canada",49.26146,-123.11995,49.2617499998969,-123.119736687561,1,"HEATHER ST / W 33RD AVE  "
"22","Theft From Auto Under $5000",2012,10,"35XX W 26TH AVE","3500 W 26TH AVE","3500 W 26TH AVE , Vancouver, BC, Canada",49.2488851,-123.1820115,49.2491024805444,-123.181554591383,1,"3500 W 26TH AVE  "
"23","Theft From Auto Under $5000",2012,10,"7XX E 54TH AVE","700 E 54TH AVE","700 E 54TH AVE , Vancouver, BC, Canada",49.2204851,-123.0906388,49.2208570407275,-123.090516235242,1,"700 E 54TH AVE  "
"24","Theft From Auto Under $5000",2012,10,"E 8TH AVE / WOODLAND DR","E 8TH AVE / WOODLAND DR","E 8TH AVE / WOODLAND DR , Vancouver, BC, Canada",49.26325,-123.06226,49.2634566178651,-123.061972333278,1,"E 8TH AVE / WOODLAND DR  "
"25","Theft From Auto Under $5000",2012,10,"SEYMOUR ST / W HASTINGS ST","SEYMOUR ST / W HASTINGS ST","SEYMOUR ST / W HASTINGS ST , Vancouver, BC, Canada",49.28175,-123.10579,49.2818786443235,-123.10568078319,1,"SEYMOUR ST / W HASTINGS ST  "
"26","Theft From Auto Under $5000",2012,10,"25XX MAPLE ST","2500 MAPLE ST","2500 MAPLE ST , Vancouver, BC, Canada",49.2636236,-123.1502756,49.2638057575914,-123.149853651852,1,"2500 MAPLE ST  "
"27","Theft From Auto Under $5000",2012,10,"COLUMBIA ST / KEEFER ST","COLUMBIA ST / KEEFER ST","COLUMBIA ST / KEEFER ST , Vancouver, BC, Canada",49.27948,-123.09972,49.2798000100131,-123.099420215676,1,"COLUMBIA ST / KEEFER ST  "
"28","Theft From Auto Under $5000",2012,10,"BOUNDARY RD / KINGSWAY AVE","BOUNDARY RD / KINGSWAY AVE","BOUNDARY RD / KINGSWAY AVE , Vancouver, BC, Canada",49.21276,-123.0238,49.212885781872,-123.023529065783,1,"BOUNDARY RD / KINGSWAY AVE  "
"29","Theft From Auto Under $5000",2012,10,"12XX W 45TH AVE","1200 W 45TH AVE","1200 W 45TH AVE , Vancouver, BC, Canada",49.2303051,-123.133614,49.2305408432636,-123.133452531858,1,"1200 W 45TH AVE  "
"30","Theft From Auto Under $5000",2012,10,"35XX VANNESS AVE","3500 VANNESS AVE","3500 VANNESS AVE , Vancouver, BC, Canada",49.2370486,-123.0296816,49.2371601445935,-123.029332479241,1,"3500 VANNESS AVE  "
"31","Theft From Auto Under $5000",2012,10,"18XX W BROADWAY AVE","1800 W BROADWAY AVE","1800 W BROADWAY AVE , Vancouver, BC, Canada",49.2635851,-123.1459829,49.2640127735928,-123.145525163037,1,"1800 W BROADWAY AVE  "
"32","Theft From Auto Under $5000",2012,10,"10XX NICOLA ST","1000 NICOLA ST","1000 NICOLA ST , Vancouver, BC, Canada",49.2863137,-123.1344198,49.2865535344708,-123.134165122332,1,"1000 NICOLA ST  "
"33","Theft From Auto Under $5000",2012,10,"35XX W 26TH AVE","3500 W 26TH AVE","3500 W 26TH AVE , Vancouver, BC, Canada",49.2488851,-123.1820115,49.249328669829,-123.181875921154,1,"3500 W 26TH AVE  "
"34","Theft From Auto Under $5000",2012,10,"32XX KINGSWAY AVE","3200 KINGSWAY AVE","3200 KINGSWAY AVE , Vancouver, BC, Canada",49.2348704,-123.0377165,49.235336920342,-123.037237092849,1,"3200 KINGSWAY AVE  "
"35","Theft From Auto Under $5000",2012,10,"38XX SELKIRK ST","3800 SELKIRK ST","3800 SELKIRK ST , Vancouver, BC, Canada",49.2518065,-123.1317789,49.2520306769318,-123.131588005958,1,"3800 SELKIRK ST  "
"36","Theft From Auto Under $5000",2012,10,"W 33RD AVE / WILLOW ST","W 33RD AVE / WILLOW ST","W 33RD AVE / WILLOW ST , Vancouver, BC, Canada",49.26415,-123.12177,49.2643419314087,-123.121665959492,1,"W 33RD AVE / WILLOW ST  "
"37","Theft From Auto Under $5000",2012,10,"15XX E 20TH AVE","1500 E 20TH AVE","1500 E 20TH AVE , Vancouver, BC, Canada",49.2524522,-123.073528,49.2526025604699,-123.073042254807,1,"1500 E 20TH AVE  "
"38","Theft From Auto Under $5000",2012,10,"5XX TAYLOR ST","500 TAYLOR ST","500 TAYLOR ST , Vancouver, BC, Canada",49.2805107,-123.105474,49.2806494241575,-123.10505187773,1,"500 TAYLOR ST  "
"39","Theft From Auto Under $5000",2012,10,"34XX KINGSWAY AVE","3400 KINGSWAY AVE","3400 KINGSWAY AVE , Vancouver, BC, Canada",49.2325298,-123.0330701,49.2329015066931,-123.032809114176,1,"3400 KINGSWAY AVE  "
"40","Theft From Auto Under $5000",2012,10,"20XX W BROADWAY AVE","2000 W BROADWAY AVE","2000 W BROADWAY AVE , Vancouver, BC, Canada",49.2636551,-123.1506819,49.2638683982789,-123.150239163889,1,"2000 W BROADWAY AVE  "
"41","Theft From Auto Under $5000",2012,10,"25XX MAPLE ST","2500 MAPLE ST","2500 MAPLE ST , Vancouver, BC, Canada",49.2636236,-123.1502756,49.263725720034,-123.149985733894,1,"2500 MAPLE ST  "
"42","Theft From Auto Under $5000",2012,10,"25XX MACDONALD ST","2500 MACDONALD ST","2500 MACDONALD ST , Vancouver, BC, Canada",49.2639387,-123.1680751,49.2642917786125,-123.167904568658,1,"2500 MACDONALD ST  "
"43","Theft From Auto Under $5000",2012,10,"35XX W 26TH AVE","3500 W 26TH AVE","3500 W 26TH AVE , Vancouver, BC, Canada",49.2488851,-123.1820115,49.2489997138626,-123.18152720024,1,"3500 W 26TH AVE  "
"44","Theft From Auto Under $5000",2012,10,"2XX E 7TH AVE","200 E 7TH AVE","200 E 7TH AVE , Vancouver, BC, Canada",49.2644751,-123.1006897,49.2647985817311,-123.100439958471,1,"200 E 7TH AVE  "
"45","Theft From Auto Under $5000",2012,10,"4XX W 33RD AVE","400 W 33RD AVE","400 W 33RD AVE , Vancouver, BC, Canada",49.2408752,-123.1170777,49.2412090769474,-123.116964752453,1,"400 W 33RD AVE  "
"46","Theft From Auto Under $5000",2012,10,"25XX MACDONALD ST","2500 MACDONALD ST","2500 MACDONALD ST , Vancouver, BC, Canada",49.2639387,-123.1680751,49.2642728672387,-123.167593021022,1,"2500 MACDONALD ST  "
"47","Theft From Auto Under $5000",2012,10,"25XX MACDONALD ST","2500 MACDONALD ST","2500 MACDONALD ST , Vancouver, BC, Canada",49.2639387,-123.1680751,49.2641070158413,-123.167691398345,1,"2500 MACDONALD ST  "
"48","Theft From Auto Under $5000",2012,10,"11XX PARKER ST","1100 PARKER ST","1100 PARKER ST , Vancouver, BC, Canada",49.2757551,-123.0791793,49.2761482954683,-123.078743100967,1,"1100 PARKER ST  "
"49","Theft From Auto Under $5000",2012,10,"25XX MAPLE ST","2500 MAPLE ST","2500 MAPLE ST , Vancouver, BC, Canada",49.2636236,-123.1502756,49.2639713470998,-123.149905345173,1,"2500 MAPLE ST  "
"50","Theft From Auto Under $5000",2012,10,"25XX MACDONALD ST","2500 MACDONALD ST","2500 MACDONALD ST , Vancouver, BC, Canada",49.2639387,-123.1680751,49.2643993198333,-123.167637410622,1,"2500 MACDONALD ST  "
"51","Theft From Auto Under $5000",2012,10,"25XX MACDONALD ST","2500 MACDONALD ST","2500 MACDONALD ST , Vancouver, BC, Canada",49.2639387,-123.1680751,49.2640898929934,-123.167612327576,1,"2500 MACDONALD ST  "
"52","Theft From Auto Under $5000",2012,10,"34XX KINGSWAY AVE","3400 KINGSWAY AVE","3400 KINGSWAY AVE , Vancouver, BC, Canada",49.2325298,-123.0330701,49.2328977906302,-123.03279726662,1,"3400 KINGSWAY AVE  "
