"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon","cid","lat_offset","lon_offset"
"1","Commercial Break and Enter",2013,1,"10XX CAMBIE ST","1000 CAMBIE ST","1000 CAMBIE ST , Vancouver, BC, Canada",49.2758306,-123.1180589,2,49.2759660304548,-123.117632448946
"2","Commercial Break and Enter",2013,1,"6XX THURLOW ST","600 THURLOW ST","600 THURLOW ST , Vancouver, BC, Canada",49.2862282,-123.1220817,2,49.2863404727373,-123.121933015022
"3","Commercial Break and Enter",2013,1,"9XX ROBSON ST","900 ROBSON ST","900 ROBSON ST , Vancouver, BC, Canada",49.2825765,-123.1219427,2,49.2828283739715,-123.121468205892
"4","Commercial Break and Enter",2013,1,"5XX W BROADWAY AVE","500 W BROADWAY AVE","500 W BROADWAY AVE , Vancouver, BC, Canada",49.26291,-123.1153,2,49.2633978748654,-123.115173848567
"5","Commercial Break and Enter",2013,1,"10XX W PENDER ST","1000 W PENDER ST","1000 W PENDER ST , Vancouver, BC, Canada",49.2865378,-123.1180675,2,49.286755103931,-123.117583315441
"6","Commercial Break and Enter",2013,1,"12XX W 6TH AVE","1200 W 6TH AVE","1200 W 6TH AVE , Vancouver, BC, Canada",49.2659551,-123.1314934,2,49.266132966066,-123.131027148454
"7","Commercial Break and Enter",2013,1,"10XX MAINLAND ST","1000 MAINLAND ST","1000 MAINLAND ST , Vancouver, BC, Canada",49.2763899,-123.1190312,2,49.2767645296846,-123.118917340966
"8","Commercial Break and Enter",2013,1,"8XX QUEBEC ST","800 QUEBEC ST","800 QUEBEC ST , Vancouver, BC, Canada",49.27743,-123.10151,2,49.2778803471765,-123.101270416668
"9","Commercial Break and Enter",2013,1,"10XX MAINLAND ST","1000 MAINLAND ST","1000 MAINLAND ST , Vancouver, BC, Canada",49.2763899,-123.1190312,2,49.2766193301981,-123.118723938985
"10","Commercial Break and Enter",2013,1,"1XX E HASTINGS ST","100 E HASTINGS ST","100 E HASTINGS ST , Vancouver, BC, Canada",49.2812718,-123.1021792,2,49.2817046422325,-123.101683785148
