"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon"
"1","Commercial Break and Enter",2013,1,"10XX CAMBIE ST","1000 CAMBIE ST","1000 CAMBIE ST , Vancouver, BC, Canada",49.2758306,-123.1180589
"2","Commercial Break and Enter",2013,1,"6XX THURLOW ST","600 THURLOW ST","600 THURLOW ST , Vancouver, BC, Canada",49.2862282,-123.1220817
"3","Commercial Break and Enter",2013,1,"9XX ROBSON ST","900 ROBSON ST","900 ROBSON ST , Vancouver, BC, Canada",49.2825765,-123.1219427
"4","Commercial Break and Enter",2013,1,"5XX W BROADWAY AVE","500 W BROADWAY AVE","500 W BROADWAY AVE , Vancouver, BC, Canada",49.26291,-123.1153
"5","Commercial Break and Enter",2013,1,"10XX W PENDER ST","1000 W PENDER ST","1000 W PENDER ST , Vancouver, BC, Canada",49.2865378,-123.1180675
"6","Commercial Break and Enter",2013,1,"12XX W 6TH AVE","1200 W 6TH AVE","1200 W 6TH AVE , Vancouver, BC, Canada",49.2659551,-123.1314934
"7","Commercial Break and Enter",2013,1,"10XX MAINLAND ST","1000 MAINLAND ST","1000 MAINLAND ST , Vancouver, BC, Canada",49.2763899,-123.1190312
"8","Commercial Break and Enter",2013,1,"8XX QUEBEC ST","800 QUEBEC ST","800 QUEBEC ST , Vancouver, BC, Canada",49.27743,-123.10151
"9","Commercial Break and Enter",2013,1,"10XX MAINLAND ST","1000 MAINLAND ST","1000 MAINLAND ST , Vancouver, BC, Canada",49.2763899,-123.1190312
"10","Commercial Break and Enter",2013,1,"1XX E HASTINGS ST","100 E HASTINGS ST","100 E HASTINGS ST , Vancouver, BC, Canada",49.2812718,-123.1021792
"11","Commercial Break and Enter",2013,1,"2XX UNION ST","200 UNION ST","200 UNION ST , Vancouver, BC, Canada",49.2775444,-123.0995769
"12","Commercial Break and Enter",2013,1,"7XX BEATTY ST","700 BEATTY ST","700 BEATTY ST , Vancouver, BC, Canada",49.2785058,-123.1123711
"13","Commercial Break and Enter",2013,1,"1XX W PENDER ST","100 W PENDER ST","100 W PENDER ST , Vancouver, BC, Canada",49.28096,-123.10846
"14","Commercial Break and Enter",2013,1,"13XX FRANCES ST","1300 FRANCES ST","1300 FRANCES ST , Vancouver, BC, Canada",49.2793151,-123.0769296
"15","Commercial Break and Enter",2013,1,"57XX CAMBIE ST","5700 CAMBIE ST","5700 CAMBIE ST , Vancouver, BC, Canada",49.2333936,-123.1158739
"16","Commercial Break and Enter",2013,1,"82XX GRANVILLE ST","8200 GRANVILLE ST","8200 GRANVILLE ST , Vancouver, BC, Canada",49.2117841,-123.1401852
"17","Commercial Break and Enter",2013,1,"81XX GRANVILLE ST","8100 GRANVILLE ST","8100 GRANVILLE ST , Vancouver, BC, Canada",49.2121264,-123.140174
"18","Commercial Break and Enter",2013,1,"7XX E 7TH AVE","700 E 7TH AVE","700 E 7TH AVE , Vancouver, BC, Canada",49.2642351,-123.0890433
"19","Commercial Break and Enter",2013,1,"34XX LOUGHEED HWY","3400 LOUGHEED HWY","3400 LOUGHEED HWY , Vancouver, BC, Canada",49.2619148,-123.0311843
"20","Commercial Break and Enter",2013,1,"24XX E HASTINGS ST","2400 E HASTINGS ST","2400 E HASTINGS ST , Vancouver, BC, Canada",49.2810051,-123.0563274
"21","Commercial Break and Enter",2013,1,"1XX E PENDER ST","100 E PENDER ST","100 E PENDER ST , Vancouver, BC, Canada",49.28017,-123.10214
"22","Commercial Break and Enter",2013,1,"9XX W 21ST AVE","900 W 21ST AVE","900 W 21ST AVE , Vancouver, BC, Canada",49.2524851,-123.1247128
"23","Commercial Break and Enter",2013,1,"2XX CARRALL ST","200 CARRALL ST","200 CARRALL ST , Vancouver, BC, Canada",49.2831513,-123.1040742
"24","Commercial Break and Enter",2013,1,"7XX BURRARD ST","700 BURRARD ST","700 BURRARD ST , Vancouver, BC, Canada",49.2841549,-123.1211547
