,TYPE,YEAR,MONTH,HUNDRED_BLOCK,h_block,full_address,lat,lon,cid,lat_offset,lon_offset
1,Commercial Break and Enter,2013,1,10XX CAMBIE ST,1000 CAMBIE ST,"1000 CAMBIE ST , Vancouver, BC, Canada",49.2758306,-123.1180589,1,49.27623239,-123.1178504
2,Commercial Break and Enter,2013,1,6XX THURLOW ST,600 THURLOW ST,"600 THURLOW ST , Vancouver, BC, Canada",49.2862282,-123.1220817,1,49.28664327,-123.1218069
3,Commercial Break and Enter,2013,1,9XX ROBSON ST,900 ROBSON ST,"900 ROBSON ST , Vancouver, BC, Canada",49.2825765,-123.1219427,1,49.28282034,-123.1215046
4,Commercial Break and Enter,2013,1,5XX W BROADWAY AVE,500 W BROADWAY AVE,"500 W BROADWAY AVE , Vancouver, BC, Canada",49.26291,-123.1153,1,49.26326562,-123.1151872
5,Commercial Break and Enter,2013,1,10XX W PENDER ST,1000 W PENDER ST,"1000 W PENDER ST , Vancouver, BC, Canada",49.2865378,-123.1180675,1,49.28695945,-123.1177301
6,Commercial Break and Enter,2013,1,12XX W 6TH AVE,1200 W 6TH AVE,"1200 W 6TH AVE , Vancouver, BC, Canada",49.2659551,-123.1314934,1,49.26628972,-123.1311721
7,Commercial Break and Enter,2013,1,10XX MAINLAND ST,1000 MAINLAND ST,"1000 MAINLAND ST , Vancouver, BC, Canada",49.2763899,-123.1190312,1,49.27672643,-123.1189032
8,Commercial Break and Enter,2013,1,8XX QUEBEC ST,800 QUEBEC ST,"800 QUEBEC ST , Vancouver, BC, Canada",49.27743,-123.10151,1,49.27762253,-123.1013438
9,Commercial Break and Enter,2013,1,10XX MAINLAND ST,1000 MAINLAND ST,"1000 MAINLAND ST , Vancouver, BC, Canada",49.2763899,-123.1190312,1,49.27678544,-123.1187285
10,Commercial Break and Enter,2013,1,1XX E HASTINGS ST,100 E HASTINGS ST,"100 E HASTINGS ST , Vancouver, BC, Canada",49.2812718,-123.1021792,1,49.28167099,-123.1018558
11,Commercial Break and Enter,2013,1,2XX UNION ST,200 UNION ST,"200 UNION ST , Vancouver, BC, Canada",49.2775444,-123.0995769,1,49.27795198,-123.0992127
12,Commercial Break and Enter,2013,1,7XX BEATTY ST,700 BEATTY ST,"700 BEATTY ST , Vancouver, BC, Canada",49.2785058,-123.1123711,1,49.27882668,-123.1122554
13,Commercial Break and Enter,2013,1,1XX W PENDER ST,100 W PENDER ST,"100 W PENDER ST , Vancouver, BC, Canada",49.28096,-123.10846,1,49.28121092,-123.1079989
14,Commercial Break and Enter,2013,1,13XX FRANCES ST,1300 FRANCES ST,"1300 FRANCES ST , Vancouver, BC, Canada",49.2793151,-123.0769296,1,49.27977117,-123.076504
15,Commercial Break and Enter,2013,1,57XX CAMBIE ST,5700 CAMBIE ST,"5700 CAMBIE ST , Vancouver, BC, Canada",49.2333936,-123.1158739,1,49.23377588,-123.1154138
16,Commercial Break and Enter,2013,1,82XX GRANVILLE ST,8200 GRANVILLE ST,"8200 GRANVILLE ST , Vancouver, BC, Canada",49.2117841,-123.1401852,1,49.21213962,-123.1397899
17,Commercial Break and Enter,2013,1,81XX GRANVILLE ST,8100 GRANVILLE ST,"8100 GRANVILLE ST , Vancouver, BC, Canada",49.2121264,-123.140174,1,49.21231075,-123.1397302
18,Commercial Break and Enter,2013,1,7XX E 7TH AVE,700 E 7TH AVE,"700 E 7TH AVE , Vancouver, BC, Canada",49.2642351,-123.0890433,1,49.2646034,-123.0888938
19,Commercial Break and Enter,2013,1,34XX LOUGHEED HWY,3400 LOUGHEED HWY,"3400 LOUGHEED HWY , Vancouver, BC, Canada",49.2619148,-123.0311843,1,49.26240043,-123.0308428
20,Commercial Break and Enter,2013,1,24XX E HASTINGS ST,2400 E HASTINGS ST,"2400 E HASTINGS ST , Vancouver, BC, Canada",49.2810051,-123.0563274,1,49.2812055,-123.0559852
21,Commercial Break and Enter,2013,1,1XX E PENDER ST,100 E PENDER ST,"100 E PENDER ST , Vancouver, BC, Canada",49.28017,-123.10214,1,49.28039974,-123.1019955
22,Commercial Break and Enter,2013,1,9XX W 21ST AVE,900 W 21ST AVE,"900 W 21ST AVE , Vancouver, BC, Canada",49.2524851,-123.1247128,1,49.25262097,-123.1242392
23,Commercial Break and Enter,2013,1,2XX CARRALL ST,200 CARRALL ST,"200 CARRALL ST , Vancouver, BC, Canada",49.2831513,-123.1040742,1,49.28360465,-123.1037263
24,Commercial Break and Enter,2013,1,7XX BURRARD ST,700 BURRARD ST,"700 BURRARD ST , Vancouver, BC, Canada",49.2841549,-123.1211547,1,49.28436136,-123.1209504
25,Commercial Break and Enter,2013,1,GRANVILLE ST / W 57TH AVE,GRANVILLE ST / W 57TH AVE,"GRANVILLE ST and W 57TH AVE , Vancouver, BC, Canada",49.21936,-123.14018,1,49.21948809,-123.1397468
