"","X","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_blk","full_address","lat","lon","cid","lat_offset","lon_offset"
"1",1,"Commercial Break and Enter",2014,1,"64XX FRASER ST","6400 FRASER ST"," 6400 FRASER ST, Vancouver, BC, Canada",49.2263666,-123.0905547,1,49.2266916145167,-123.090353448982
"2",2,"Commercial Break and Enter",2014,1,"10XX CHILCO ST","1000 CHILCO ST"," 1000 CHILCO ST, Vancouver, BC, Canada",49.2909457,-123.1418005,1,49.2913122883019,-123.141360452254
"3",3,"Commercial Break and Enter",2014,1,"9XX W 7TH AVE","900 W 7TH AVE"," 900 W 7TH AVE, Vancouver, BC, Canada",49.2649952,-123.1240959,1,49.2651787869867,-123.123721252296
"4",4,"Commercial Break and Enter",2014,1,"1XX W 1ST AVE","100 W 1ST AVE"," 100 W 1ST AVE, Vancouver, BC, Canada",49.2700751,-123.1068135,1,49.2701953996372,-123.106459633322
"5",5,"Commercial Break and Enter",2014,1,"14XX BARCLAY ST","1400 BARCLAY ST"," 1400 BARCLAY ST, Vancouver, BC, Canada",49.2864755,-123.1323094,1,49.2865944088495,-123.132119267335
"6",6,"Commercial Break and Enter",2014,1,"1XX W HASTINGS ST","100 W HASTINGS ST"," 100 W HASTINGS ST, Vancouver, BC, Canada",49.2818961,-123.1074143,1,49.2821658685192,-123.107193899751
"7",7,"Commercial Break and Enter",2014,1,"11XX GRANT ST","1100 GRANT ST"," 1100 GRANT ST, Vancouver, BC, Canada",49.27122,-123.07925,1,49.271498657779,-123.078945434316
"8",8,"Commercial Break and Enter",2014,1,"15XX JOHNSTON ST","1500 JOHNSTON ST"," 1500 JOHNSTON ST, Vancouver, BC, Canada",49.2709273,-123.1339759,1,49.271422955197,-123.133563604568
"9",9,"Commercial Break and Enter",2014,1,"1XX W 1ST AVE","100 W 1ST AVE"," 100 W 1ST AVE, Vancouver, BC, Canada",49.2700751,-123.1068135,1,49.2705159980562,-123.106447012425
"10",10,"Commercial Break and Enter",2014,1,"34XX CROWLEY DR","3400 CROWLEY DR"," 3400 CROWLEY DR, Vancouver, BC, Canada",49.2372041,-123.0325142,1,49.2374852273923,-123.03222395363
"11",12,"Commercial Break and Enter",2014,1,"12XX MARINASIDE CRES","1200 MARINASIDE CRES"," 1200 MARINASIDE CRES, Vancouver, BC, Canada",49.2727576,-123.119722,1,49.2730672885362,-123.119615932951
"12",13,"Commercial Break and Enter",2014,1,"24XX E HASTINGS ST","2400 E HASTINGS ST"," 2400 E HASTINGS ST, Vancouver, BC, Canada",49.2810051,-123.0563274,1,49.2813966681132,-123.055959319824
"13",14,"Commercial Break and Enter",2014,1,"4XX INDUSTRIAL AVE","400 INDUSTRIAL AVE"," 400 INDUSTRIAL AVE, Vancouver, BC, Canada",49.26923,-123.09568,1,49.2694810434786,-123.095509329371
"14",15,"Commercial Break and Enter",2014,1,"15XX JOHNSTON ST","1500 JOHNSTON ST"," 1500 JOHNSTON ST, Vancouver, BC, Canada",49.2709273,-123.1339759,1,49.2711684993122,-123.133700213975
"15",16,"Commercial Break and Enter",2014,1,"3XX ALEXANDER ST","300 ALEXANDER ST"," 300 ALEXANDER ST, Vancouver, BC, Canada",49.2838,-123.0976,1,49.2839035849232,-123.097306876952
"16",17,"Commercial Break and Enter",2014,1,"15XX SW MARINE DR","1500 SW MARINE DR"," 1500 SW MARINE DR, Vancouver, BC, Canada",49.2049152,-123.1402199,1,49.2053113492322,-123.140073159352
"17",18,"Commercial Break and Enter",2014,1,"7XX E CORDOVA ST","700 E CORDOVA ST"," 700 E CORDOVA ST, Vancouver, BC, Canada",49.2819547,-123.0892022,1,49.2820982659298,-123.088952781093
"18",19,"Commercial Break and Enter",2014,1,"3XX RAILWAY ST","300 RAILWAY ST"," 300 RAILWAY ST, Vancouver, BC, Canada",49.2842268,-123.0976581,1,49.2846012533855,-123.097306150552
"19",21,"Commercial Break and Enter",2014,1,"6XX EVANS AVE","600 EVANS AVE"," 600 EVANS AVE, Vancouver, BC, Canada",49.2722348,-123.0911361,1,49.2723415557705,-123.09082793407
"20",22,"Commercial Break and Enter",2014,1,"1XX DUNLEVY AVE","100 DUNLEVY AVE"," 100 DUNLEVY AVE, Vancouver, BC, Canada",49.283901,-123.0950641,1,49.2843895042747,-123.094952776495
