"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon","cid","lat_offset","lon_offset"
"1","Commercial Break and Enter",2014,1,"64XX FRASER ST","6400 FRASER ST","6400 FRASER ST , Vancouver, BC, Canada",49.2263666,-123.0905547,1,49.2265341487425,-123.090394283738
"2","Commercial Break and Enter",2014,1,"10XX CHILCO ST","1000 CHILCO ST","1000 CHILCO ST , Vancouver, BC, Canada",49.2909457,-123.1418005,1,49.2913790518528,-123.141615810355
"3","Commercial Break and Enter",2014,1,"9XX W 7TH AVE","900 W 7TH AVE","900 W 7TH AVE , Vancouver, BC, Canada",49.2649952,-123.1240959,1,49.2654848133143,-123.123963925334
"4","Commercial Break and Enter",2014,1,"1XX W 1ST AVE","100 W 1ST AVE","100 W 1ST AVE , Vancouver, BC, Canada",49.2700751,-123.1068135,1,49.2703483807795,-123.106331630065
"5","Commercial Break and Enter",2014,1,"14XX BARCLAY ST","1400 BARCLAY ST","1400 BARCLAY ST , Vancouver, BC, Canada",49.2864755,-123.1323094,1,49.2868517673917,-123.132113328936
"6","Commercial Break and Enter",2014,1,"1XX W HASTINGS ST","100 W HASTINGS ST","100 W HASTINGS ST , Vancouver, BC, Canada",49.2818961,-123.1074143,1,49.2823944913956,-123.107102506443
"7","Commercial Break and Enter",2014,1,"11XX GRANT ST","1100 GRANT ST","1100 GRANT ST , Vancouver, BC, Canada",49.27122,-123.07925,1,49.2713291740555,-123.079058486202
"8","Commercial Break and Enter",2014,1,"15XX JOHNSTON ST","1500 JOHNSTON ST","1500 JOHNSTON ST , Vancouver, BC, Canada",49.2709273,-123.1339759,1,49.271325145003,-123.133524335355
"9","Commercial Break and Enter",2014,1,"1XX W 1ST AVE","100 W 1ST AVE","100 W 1ST AVE , Vancouver, BC, Canada",49.2700751,-123.1068135,1,49.2702234223493,-123.106580443326
"10","Commercial Break and Enter",2014,1,"34XX CROWLEY DR","3400 CROWLEY DR","3400 CROWLEY DR , Vancouver, BC, Canada",49.2372041,-123.0325142,1,49.2374390438693,-123.032240471026
"12","Commercial Break and Enter",2014,1,"12XX MARINASIDE CRES","1200 MARINASIDE CRES","1200 MARINASIDE CRES , Vancouver, BC, Canada",49.2727576,-123.119722,1,49.2728937384112,-123.119487321181
"13","Commercial Break and Enter",2014,1,"24XX E HASTINGS ST","2400 E HASTINGS ST","2400 E HASTINGS ST , Vancouver, BC, Canada",49.2810051,-123.0563274,1,49.2812343252059,-123.056014269726
"14","Commercial Break and Enter",2014,1,"4XX INDUSTRIAL AVE","400 INDUSTRIAL AVE","400 INDUSTRIAL AVE , Vancouver, BC, Canada",49.26923,-123.09568,1,49.2696594128047,-123.095311117459
"15","Commercial Break and Enter",2014,1,"15XX JOHNSTON ST","1500 JOHNSTON ST","1500 JOHNSTON ST , Vancouver, BC, Canada",49.2709273,-123.1339759,1,49.2710831836174,-123.13370811487
"16","Commercial Break and Enter",2014,1,"3XX ALEXANDER ST","300 ALE0ANDER ST","300 ALE0ANDER ST , Vancouver, BC, Canada",49.307488,-123.069712,1,49.3078450490644,-123.069586857438
"17","Commercial Break and Enter",2014,1,"15XX SW MARINE DR","1500 SW MARINE DR","1500 SW MARINE DR , Vancouver, BC, Canada",49.2049152,-123.1402199,1,49.2052062741135,-123.139774301701
"18","Commercial Break and Enter",2014,1,"7XX E CORDOVA ST","700 E CORDOVA ST","700 E CORDOVA ST , Vancouver, BC, Canada",49.2819547,-123.0892022,1,49.2822108887565,-123.088809518958
"19","Commercial Break and Enter",2014,1,"3XX RAILWAY ST","300 RAILWAY ST","300 RAILWAY ST , Vancouver, BC, Canada",49.2842268,-123.0976581,1,49.2846455604654,-123.097325082951
