"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon"
"1","Commercial Break and Enter",2014,1,"64XX FRASER ST","6400 FRASER ST","6400 FRASER ST Vancouver, BC, Canada",49.2263666,-123.0905547
"2","Commercial Break and Enter",2014,1,"10XX CHILCO ST","1000 CHILCO ST","1000 CHILCO ST Vancouver, BC, Canada",49.2909457,-123.1418005
"3","Commercial Break and Enter",2014,1,"9XX W 7TH AVE","900 W 7TH AVE","900 W 7TH AVE Vancouver, BC, Canada",49.2649952,-123.1240959
"4","Commercial Break and Enter",2014,1,"1XX W 1ST AVE","100 W 1ST AVE","100 W 1ST AVE Vancouver, BC, Canada",49.2700751,-123.1068135
"5","Commercial Break and Enter",2014,1,"14XX BARCLAY ST","1400 BARCLAY ST","1400 BARCLAY ST Vancouver, BC, Canada",49.2864755,-123.1323094
"6","Commercial Break and Enter",2014,1,"1XX W HASTINGS ST","100 W HASTINGS ST","100 W HASTINGS ST Vancouver, BC, Canada",49.2818961,-123.1074143
"7","Commercial Break and Enter",2014,1,"11XX GRANT ST","1100 GRANT ST","1100 GRANT ST Vancouver, BC, Canada",49.27122,-123.07925
"8","Commercial Break and Enter",2014,1,"15XX JOHNSTON ST","1500 JOHNSTON ST","1500 JOHNSTON ST Vancouver, BC, Canada",49.2709273,-123.1339759
"9","Commercial Break and Enter",2014,1,"1XX W 1ST AVE","100 W 1ST AVE","100 W 1ST AVE Vancouver, BC, Canada",49.2700751,-123.1068135
"10","Commercial Break and Enter",2014,1,"34XX CROWLEY DR","3400 CROWLEY DR","3400 CROWLEY DR Vancouver, BC, Canada",49.2372041,-123.0325142
"11","Commercial Break and Enter",2014,1,"14XX KINGSWAY AVE","1400 KINGSWAY AVE","1400 KINGSWAY AVE Vancouver, BC, Canada",49.2487993,-122.7533443
"12","Commercial Break and Enter",2014,1,"12XX MARINASIDE CRES","1200 MARINASIDE CRES","1200 MARINASIDE CRES Vancouver, BC, Canada",49.2727576,-123.119722
"13","Commercial Break and Enter",2014,1,"24XX E HASTINGS ST","2400 E HASTINGS ST","2400 E HASTINGS ST Vancouver, BC, Canada",49.2810051,-123.0563274
"14","Commercial Break and Enter",2014,1,"4XX INDUSTRIAL AVE","400 INDUSTRIAL AVE","400 INDUSTRIAL AVE Vancouver, BC, Canada",49.26923,-123.09568
"15","Commercial Break and Enter",2014,1,"15XX JOHNSTON ST","1500 JOHNSTON ST","1500 JOHNSTON ST Vancouver, BC, Canada",49.2709273,-123.1339759
"16","Commercial Break and Enter",2014,1,"3XX ALEXANDER ST","300 ALEXANDER ST","300 ALEXANDER ST Vancouver, BC, Canada",49.2838,-123.0976
"17","Commercial Break and Enter",2014,1,"15XX SW MARINE DR","1500 SW MARINE DR","1500 SW MARINE DR Vancouver, BC, Canada",49.2049152,-123.1402199
"18","Commercial Break and Enter",2014,1,"7XX E CORDOVA ST","700 E CORDOVA ST","700 E CORDOVA ST Vancouver, BC, Canada",49.2819547,-123.0892022
"19","Commercial Break and Enter",2014,1,"3XX RAILWAY ST","300 RAILWAY ST","300 RAILWAY ST Vancouver, BC, Canada",49.2842268,-123.0976581
"20","Commercial Break and Enter",2014,1,"17XX KINGSWAY AVE","1700 KINGSWAY AVE","1700 KINGSWAY AVE Vancouver, BC, Canada",49.2526106,-122.7621172
"21","Commercial Break and Enter",2014,1,"6XX EVANS AVE","600 EVANS AVE","600 EVANS AVE Vancouver, BC, Canada",49.2722348,-123.0911361
"22","Commercial Break and Enter",2014,1,"1XX DUNLEVY AVE","100 DUNLEVY AVE","100 DUNLEVY AVE Vancouver, BC, Canada",49.283901,-123.0950641
"23","Commercial Break and Enter",2014,1,"2XX E HASTINGS ST","200 E HASTINGS ST","200 E HASTINGS ST Vancouver, BC, Canada",49.2811945,-123.0994298
"24","Commercial Break and Enter",2014,1,"11XX HOWE ST","1100 HOWE ST","1100 HOWE ST Vancouver, BC, Canada",49.278619,-123.1257033
"25","Commercial Break and Enter",2014,1,"6XX STAMPS LAND","600 STAMPS LAND","600 STAMPS LAND Vancouver, BC, Canada",49.2687769,-123.1181316
"26","Commercial Break and Enter",2014,1,"8XX E HASTINGS ST","800 E HASTINGS ST","800 E HASTINGS ST Vancouver, BC, Canada",49.2809643,-123.0868638
"27","Commercial Break and Enter",2014,1,"4XX W HASTINGS ST","400 W HASTINGS ST","400 W HASTINGS ST Vancouver, BC, Canada",49.28334,-123.11145
"28","Commercial Break and Enter",2014,1,"9XX W 16TH AVE","900 W 16TH AVE","900 W 16TH AVE Vancouver, BC, Canada",49.2569452,-123.1245749
"29","Commercial Break and Enter",2014,1,"1XX VICTORIA DR","100 VICTORIA DR","100 VICTORIA DR Vancouver, BC, Canada",49.2838122,-123.0652859
"30","Commercial Break and Enter",2014,1,"26XX GRANVILLE ST","2600 GRANVILLE ST","2600 GRANVILLE ST Vancouver, BC, Canada",49.2624943,-123.138405
"31","Commercial Break and Enter",2014,1,"31XX PRINCE EDWARD ST","3100 PRINCE EDWARD ST","3100 PRINCE EDWARD ST Vancouver, BC, Canada",49.2573139,-123.0963451
"32","Commercial Break and Enter",2014,1,"1XX E 6TH AVE","100 E 6TH AVE","100 E 6TH AVE Vancouver, BC, Canada",49.2654047,-123.1026241
"33","Commercial Break and Enter",2014,1,"43XX W 10TH AVE","4300 W 10TH AVE","4300 W 10TH AVE Vancouver, BC, Canada",49.2636151,-123.2032222
"34","Commercial Break and Enter",2014,1,"7XX E CORDOVA ST","700 E CORDOVA ST","700 E CORDOVA ST Vancouver, BC, Canada",49.2819547,-123.0892022
"35","Commercial Break and Enter",2014,1,"5XX GREAT NORTHERN WAY","500 GREAT NORTHERN WAY","500 GREAT NORTHERN WAY Vancouver, BC, Canada",49.2666618,-123.0929656
"36","Commercial Break and Enter",2014,1,"14XX WILLIAM ST","1400 WILLIAM ST","1400 WILLIAM ST Vancouver, BC, Canada",49.2739343,-123.0756197
"37","Commercial Break and Enter",2014,1,"11XX W PENDER ST","1100 W PENDER ST","1100 W PENDER ST Vancouver, BC, Canada",49.2874375,-123.1206187
"38","Commercial Break and Enter",2014,1,"37XX W 28TH AVE","3700 W 28TH AVE","3700 W 28TH AVE Vancouver, BC, Canada",49.2469852,-123.1867155
"39","Commercial Break and Enter",2014,1,"6XX HOWE ST","600 HOWE ST","600 HOWE ST Vancouver, BC, Canada",49.2841363,-123.1173675
"40","Commercial Break and Enter",2014,1,"15XX E HASTINGS ST","1500 E HASTINGS ST","1500 E HASTINGS ST Vancouver, BC, Canada",49.28097,-123.07396
"41","Commercial Break and Enter",2014,1,"25XX FRASER ST","2500 FRASER ST","2500 FRASER ST Vancouver, BC, Canada",49.2624447,-123.0889548
"42","Commercial Break and Enter",2014,1,"3XX RAILWAY ST","300 RAILWAY ST","300 RAILWAY ST Vancouver, BC, Canada",49.2842268,-123.0976581
"43","Commercial Break and Enter",2014,1,"33XX FRASER ST","3300 FRASER ST","3300 FRASER ST Vancouver, BC, Canada",49.2554174,-123.0897044
"44","Commercial Break and Enter",2014,1,"5XX CLARK DR","500 CLARK DR","500 CLARK DR Vancouver, BC, Canada",49.2802136,-123.0769851
"45","Commercial Break and Enter",2014,1,"20XX W 12TH AVE","2000 W 12TH AVE","2000 W 12TH AVE Vancouver, BC, Canada",49.26068,-123.15104
"46","Commercial Break and Enter",2014,1,"44XX DUNBAR ST","4400 DUNBAR ST","4400 DUNBAR ST Vancouver, BC, Canada",49.2469435,-123.1850951
"47","Commercial Break and Enter",2014,1,"44XX MAIN ST","4400 MAIN ST","4400 MAIN ST Vancouver, BC, Canada",49.2455259,-123.1010561
"48","Commercial Break and Enter",2014,1,"20XX W 41ST AVE","2000 W 41ST AVE","2000 W 41ST AVE Vancouver, BC, Canada",49.2344051,-123.1522602
"49","Commercial Break and Enter",2014,1,"8XX W 41ST AVE","800 W 41ST AVE","800 W 41ST AVE Vancouver, BC, Canada",49.2336851,-123.1238152
"50","Commercial Break and Enter",2014,1,"1XX DAVIE ST","100 DAVIE ST","100 DAVIE ST Vancouver, BC, Canada",49.2729763,-123.1200325
"51","Commercial Break and Enter",2014,1,"42XX ARBUTUS ST","4200 ARBUTUS ST","4200 ARBUTUS ST Vancouver, BC, Canada",49.2479282,-123.1530951
"52","Commercial Break and Enter",2014,1,"1XX POWELL ST","100 POWELL ST","100 POWELL ST Vancouver, BC, Canada",49.28297,-123.10184
"53","Commercial Break and Enter",2014,1,"8XX BEATTY ST","800 BEATTY ST","800 BEATTY ST Vancouver, BC, Canada",49.2774488,-123.1139524
"54","Commercial Break and Enter",2014,1,"29XX PRINCE EDWARD ST","2900 PRINCE EDWARD ST","2900 PRINCE EDWARD ST Vancouver, BC, Canada",49.2591024,-123.0961144
"55","Commercial Break and Enter",2014,1,"1XX W PENDER ST","100 W PENDER ST","100 W PENDER ST Vancouver, BC, Canada",49.28096,-123.10846
"56","Commercial Break and Enter",2014,1,"4XX W 2ND AVE","400 W 2ND AVE","400 W 2ND AVE Vancouver, BC, Canada",49.2674396,-123.1128636
"57","Commercial Break and Enter",2014,1,"1XX POWELL ST","100 POWELL ST","100 POWELL ST Vancouver, BC, Canada",49.28297,-123.10184
"58","Commercial Break and Enter",2014,1,"36XX KINGSWAY AVE","3600 KINGSWAY AVE","3600 KINGSWAY AVE Vancouver, BC, Canada",49.2320214,-123.0267836
"59","Commercial Break and Enter",2014,1,"7XX SE MARINE DR","700 SE MARINE DR","700 SE MARINE DR Vancouver, BC, Canada",49.2108851,-123.0908499
"60","Commercial Break and Enter",2014,1,"64XX VICTORIA DR","6400 VICTORIA DR","6400 VICTORIA DR Vancouver, BC, Canada",49.2261902,-123.0655339
"61","Commercial Break and Enter",2014,1,"5XX W BROADWAY AVE","500 W BROADWAY AVE","500 W BROADWAY AVE Vancouver, BC, Canada",49.26291,-123.1153
"62","Commercial Break and Enter",2014,1,"7XX SAWYERS LANE","700 SAWYERS LANE","700 SAWYERS LANE Vancouver, BC, Canada",49.2667795,-123.1209282
"63","Commercial Break and Enter",2014,1,"7XX SAWYERS LANE","700 SAWYERS LANE","700 SAWYERS LANE Vancouver, BC, Canada",49.2667795,-123.1209282
"64","Commercial Break and Enter",2014,1,"8XX SAWYERS LANE","800 SAWYERS LANE","800 SAWYERS LANE Vancouver, BC, Canada",49.2667104,-123.1212891
"65","Commercial Break and Enter",2014,1,"57XX OAK ST","5700 OAK ST","5700 OAK ST Vancouver, BC, Canada",49.2337995,-123.1279651
"66","Commercial Break and Enter",2014,1,"82XX MANITOBA ST","8200 MANITOBA ST","8200 MANITOBA ST Vancouver, BC, Canada",49.2114705,-123.1098589
"67","Commercial Break and Enter",2014,1,"1XX POWELL ST","100 POWELL ST","100 POWELL ST Vancouver, BC, Canada",49.28297,-123.10184
"68","Commercial Break and Enter",2014,1,"23XX MAIN ST","2300 MAIN ST","2300 MAIN ST Vancouver, BC, Canada",49.2645386,-123.1006974
"69","Commercial Break and Enter",2014,1,"1XX W HASTINGS ST","100 W HASTINGS ST","100 W HASTINGS ST Vancouver, BC, Canada",49.2818961,-123.1074143
"70","Commercial Break and Enter",2014,1,"29XX GRANVILLE ST","2900 GRANVILLE ST","2900 GRANVILLE ST Vancouver, BC, Canada",49.2597074,-123.1385044
"71","Commercial Break and Enter",2014,1,"7XX THURLOW ST","700 THURLOW ST","700 THURLOW ST Vancouver, BC, Canada",49.2854289,-123.1233068
"72","Commercial Break and Enter",2014,1,"1XX W 1ST AVE","100 W 1ST AVE","100 W 1ST AVE Vancouver, BC, Canada",49.2700751,-123.1068135
"73","Commercial Break and Enter",2014,1,"10XX HARWOOD ST","1000 HARWOOD ST","1000 HARWOOD ST Vancouver, BC, Canada",49.2776163,-123.1315319
"74","Commercial Break and Enter",2014,1,"1XX W BROADWAY AVE","100 W BROADWAY AVE","100 W BROADWAY AVE Vancouver, BC, Canada",49.2629351,-123.1070431
"75","Commercial Break and Enter",2014,1,"29XX W 4TH AVE","2900 W 4TH AVE","2900 W 4TH AVE Vancouver, BC, Canada",49.2682605,-123.1704888
"76","Commercial Break and Enter",2014,1,"6XX W BROADWAY AVE","600 W BROADWAY AVE","600 W BROADWAY AVE Vancouver, BC, Canada",49.2631451,-123.117715
"77","Commercial Break and Enter",2014,1,"26XX KINGSWAY AVE","2600 KINGSWAY AVE","2600 KINGSWAY AVE Vancouver, BC, Canada",49.2655264,-122.7870186
"78","Commercial Break and Enter",2014,1,"26XX FIR ST","2600 FIR ST","2600 FIR ST Vancouver, BC, Canada",49.2625074,-123.1408767
"79","Commercial Break and Enter",2014,1,"2XX E 14TH AVE","200 E 14TH AVE","200 E 14TH AVE Vancouver, BC, Canada",49.2582751,-123.1003393
"80","Commercial Break and Enter",2014,1,"1XX E 1ST AVE","100 E 1ST AVE","100 E 1ST AVE Vancouver, BC, Canada",49.2700347,-123.1024001
"81","Commercial Break and Enter",2014,1,"5XX SMITHE ST","500 SMITHE ST","500 SMITHE ST Vancouver, BC, Canada",49.2790106,-123.1197059
"82","Commercial Break and Enter",2014,1,"7XX BEATTY ST","700 BEATTY ST","700 BEATTY ST Vancouver, BC, Canada",49.2785058,-123.1123711
"83","Commercial Break and Enter",2014,1,"5XX GRANVILLE ST","500 GRANVILLE ST","500 GRANVILLE ST Vancouver, BC, Canada",49.2843,-123.11484
"84","Commercial Break and Enter",2014,1,"7XX KINGSWAY AVE","700 KINGSWAY AVE","700 KINGSWAY AVE Vancouver, BC, Canada",49.2480243,-122.7342632
"85","Commercial Break and Enter",2014,1,"18XX MAIN ST","1800 MAIN ST","1800 MAIN ST Vancouver, BC, Canada",49.26872,-123.10042
